config,question_idx,question,tokens,latency_ms,faithfulness
A,0,"Bé nhà em hay hỏi ""Tại sao?"" liên tục, đôi khi em thấy rất mệt mỏi, em có nên trả lời hết các câu hỏi đó không?",2986,11480.549100000644,0.8
B,0,"Bé nhà em hay hỏi ""Tại sao?"" liên tục, đôi khi em thấy rất mệt mỏi, em có nên trả lời hết các câu hỏi đó không?",1404,2087.946500018006,0.95
C,0,"Bé nhà em hay hỏi ""Tại sao?"" liên tục, đôi khi em thấy rất mệt mỏi, em có nên trả lời hết các câu hỏi đó không?",821,890.8908999874257,0.95
D,0,"Bé nhà em hay hỏi ""Tại sao?"" liên tục, đôi khi em thấy rất mệt mỏi, em có nên trả lời hết các câu hỏi đó không?",1047,1654.4364000146743,0.85
A,1,"Em lo ngại các hóa chất trong tã giấy, có loại tã nào không chứa gel siêu thấm hay chất tẩy trắng clo để an toàn hơn cho da bé không ạ?",3486,1740.9324999898672,0.8
B,1,"Em lo ngại các hóa chất trong tã giấy, có loại tã nào không chứa gel siêu thấm hay chất tẩy trắng clo để an toàn hơn cho da bé không ạ?",1308,1830.6553000002168,0.85
C,1,"Em lo ngại các hóa chất trong tã giấy, có loại tã nào không chứa gel siêu thấm hay chất tẩy trắng clo để an toàn hơn cho da bé không ạ?",3527,4500.74869999662,0.85
D,1,"Em lo ngại các hóa chất trong tã giấy, có loại tã nào không chứa gel siêu thấm hay chất tẩy trắng clo để an toàn hơn cho da bé không ạ?",3988,30532.208899996476,0.85
A,2,Sữa mẹ chứa bao nhiêu phần trăm là nước?,2669,5323.959200002719,0.95
B,2,Sữa mẹ chứa bao nhiêu phần trăm là nước?,720,1549.589800008107,0.85
C,2,Sữa mẹ chứa bao nhiêu phần trăm là nước?,2829,1048.7312999903224,0.8
D,2,Sữa mẹ chứa bao nhiêu phần trăm là nước?,1085,1691.0313999978825,0.85
A,3,"Làm sao để em giúp bé nhận biết và học tên các màu sắc, hình khối một cách tự nhiên nhất ạ?",4116,12375.590100011323,0.8
B,3,"Làm sao để em giúp bé nhận biết và học tên các màu sắc, hình khối một cách tự nhiên nhất ạ?",1164,2379.1730999946594,0.65
C,3,"Làm sao để em giúp bé nhận biết và học tên các màu sắc, hình khối một cách tự nhiên nhất ạ?",4394,5009.774200007087,0.2
D,3,"Làm sao để em giúp bé nhận biết và học tên các màu sắc, hình khối một cách tự nhiên nhất ạ?",1124,5960.642799997004,0.8
A,4,Sữa non của em màu vàng và đặc thì có tốt cho bé không ạ?,2946,19989.65619999217,0.2
B,4,Sữa non của em màu vàng và đặc thì có tốt cho bé không ạ?,1029,6620.370799995726,0.0
C,4,Sữa non của em màu vàng và đặc thì có tốt cho bé không ạ?,4574,39977.682999975514,0.85
D,4,Sữa non của em màu vàng và đặc thì có tốt cho bé không ạ?,1043,1972.121499973582,0.0
A,5,"Em mới sinh bé xong, trong mấy tiếng đầu bác sĩ sẽ theo dõi em thế nào?",2642,1759.8485000198707,0.8
B,5,"Em mới sinh bé xong, trong mấy tiếng đầu bác sĩ sẽ theo dõi em thế nào?",1049,1750.3269000153523,0.2
C,5,"Em mới sinh bé xong, trong mấy tiếng đầu bác sĩ sẽ theo dõi em thế nào?",2262,1478.4016000048723,0.8
D,5,"Em mới sinh bé xong, trong mấy tiếng đầu bác sĩ sẽ theo dõi em thế nào?",3550,6638.599700003397,0.2
