config,question_idx,question,tokens,prompt_tokens,completion_tokens,latency_ms,faithfulness,seed
A,0,"Bé nhà em hay hỏi ""Tại sao?"" liên tục, đôi khi em thấy rất mệt mỏi, em có nên trả lời hết các câu hỏi đó không?",2786,2233,553,13666.42890003277,0.8,42
B,0,"Bé nhà em hay hỏi ""Tại sao?"" liên tục, đôi khi em thấy rất mệt mỏi, em có nên trả lời hết các câu hỏi đó không?",1348,877,471,2226.357300009113,0.95,42
C,0,"Bé nhà em hay hỏi ""Tại sao?"" liên tục, đôi khi em thấy rất mệt mỏi, em có nên trả lời hết các câu hỏi đó không?",912,671,241,978.8141999742948,0.95,42
D,0,"Bé nhà em hay hỏi ""Tại sao?"" liên tục, đôi khi em thấy rất mệt mỏi, em có nên trả lời hết các câu hỏi đó không?",1050,798,252,1593.2745999889448,0.95,42
A,1,"Em lo ngại các hóa chất trong tã giấy, có loại tã nào không chứa gel siêu thấm hay chất tẩy trắng clo để an toàn hơn cho da bé không ạ?",3523,3209,314,1903.4428999875672,0.85,42
B,1,"Em lo ngại các hóa chất trong tã giấy, có loại tã nào không chứa gel siêu thấm hay chất tẩy trắng clo để an toàn hơn cho da bé không ạ?",1195,845,350,5720.1011999859475,0.95,42
C,1,"Em lo ngại các hóa chất trong tã giấy, có loại tã nào không chứa gel siêu thấm hay chất tẩy trắng clo để an toàn hơn cho da bé không ạ?",3502,3230,272,25682.61119996896,0.8,42
D,1,"Em lo ngại các hóa chất trong tã giấy, có loại tã nào không chứa gel siêu thấm hay chất tẩy trắng clo để an toàn hơn cho da bé không ạ?",3931,3561,370,32546.836500056088,0.85,42
A,2,Sữa mẹ chứa bao nhiêu phần trăm là nước?,2755,2388,367,5186.111800023355,0.85,42
B,2,Sữa mẹ chứa bao nhiêu phần trăm là nước?,767,516,251,1419.440100027714,0.85,42
C,2,Sữa mẹ chứa bao nhiêu phần trăm là nước?,2829,2786,43,888.4383999975398,0.8,42
D,2,Sữa mẹ chứa bao nhiêu phần trăm là nước?,1052,759,293,2085.5289999744855,0.85,42
A,3,"Làm sao để em giúp bé nhận biết và học tên các màu sắc, hình khối một cách tự nhiên nhất ạ?",2679,2081,598,3285.66980001051,0.65,42
B,3,"Làm sao để em giúp bé nhận biết và học tên các màu sắc, hình khối một cách tự nhiên nhất ạ?",1317,654,663,2333.7535000173375,0.8,42
C,3,"Làm sao để em giúp bé nhận biết và học tên các màu sắc, hình khối một cách tự nhiên nhất ạ?",4274,3833,441,1536.323899985291,0.8,42
D,3,"Làm sao để em giúp bé nhận biết và học tên các màu sắc, hình khối một cách tự nhiên nhất ạ?",1116,782,334,1692.765399988275,0.8,42
A,4,Sữa non của em màu vàng và đặc thì có tốt cho bé không ạ?,2986,2642,344,14601.369699987117,0.2,42
B,4,Sữa non của em màu vàng và đặc thì có tốt cho bé không ạ?,1004,726,278,1467.583499965258,0.2,42
C,4,Sữa non của em màu vàng và đặc thì có tốt cho bé không ạ?,4555,4358,197,34627.50750000123,0.85,42
