question,source_raw,expected_sources,profile,dataset
Dấu hiệu lâm sàng chính của băng huyết do đờ tử cung là gì?,Phác đồ Chẩn đoán và xử trí BHSS - Trang 2,phác đồ chẩn đoán và xử trí bhss - trang 2,exact_lexical,KB1_Standard
làm sao để em biết mình đã cân đối đúng lượng thực phẩm trong mỗi bát cháo ăn dặm cho con hàng ngày?,Số bữa ăn dặm trong ngày của trẻ từ 6 tháng.docx,số bữa ăn dặm trong ngày của trẻ từ 6 tháng.docx,exact_lexical,KB1_Standard
Nguyên nhân phổ biến nhất gây băng huyết sau sinh là gì?,Phác đồ Chẩn đoán và xử trí BHSS - Trang 1,phác đồ chẩn đoán và xử trí bhss - trang 1,exact_lexical,KB1_Standard
"Hướng dẫn em cách xử lý, chăm sóc khi bị sản dịch hôi với ạ",d3fa1053-wp8-postpartum-care-handbook-viet.pdf/Trang 32,trang 32,exact_lexical,KB1_Standard
Trẻ nên được bú mẹ lần đầu vào thời điểm nào sau sinh,viendinhduong_nuoi_duong_cham_soc_tre_so_sinh.pdf,viendinhduong_nuoi_duong_cham_soc_tre_so_sinh.pdf,exact_lexical,KB1_Standard
Sau sinh bao lâu em bị sốt và sản dịch hôi thì là bị nhiễm trùng tử cung ạ?,"Nhiễm khuẩn hậu sản - Trang 1, 2","nhiễm khuẩn hậu sản - trang 1, 2",exact_lexical,KB1_Standard
"Ngực em tự nhiên bị sưng cứng và đau nhức quá, có phải em đã bị tắc tia sữa rồi không bác sĩ?",Tắc tia sữa sau sinh.docx,tắc tia sữa sau sinh.docx,exact_lexical,KB1_Standard
bé nhà em được mấy tháng tuổi thì nên bắt đầu cho ăn dặm là tốt nhất cho hệ tiêu hóa của con ạ?,Hướng dẫn đầy đủ về ăn dặm theo khuyến cáo của Viện Dinh dưỡng Quốc gia.docx,hướng dẫn đầy đủ về ăn dặm theo khuyến cáo của viện dinh dưỡng quốc gia.docx,exact_lexical,KB1_Standard
Em nghe nói nếu không bú mẹ thì con dễ bị béo phì khi lớn lên phải không?,1445371_Improving-the-quality-and-care-of ,1445371_improving-the-quality-and-care-of,exact_lexical,KB1_Standard
Sản dịch của em ngày thứ 5 có màu lờ lờ máu cá thì có phải là bất thường không?,Sổ tay 4Steps - Trang 7,sổ tay 4steps - trang 7,exact_lexical,KB1_Standard
Hướng dẫn em cách vắt sữa bằng tay làm sao để không bị đau và tắc tia sữa?,Sổ tay 4Steps - Trang 49,sổ tay 4steps - trang 49,exact_lexical,KB1_Standard
Khi nào thì trẻ bắt đầu bước vào giai đoạn ăn bổ sung (ăn dặm)?,viendinhduong_nuoi_duong_cham_soc_tre_so_sinh.pdf,viendinhduong_nuoi_duong_cham_soc_tre_so_sinh.pdf,exact_lexical,KB1_Standard
Kích thích phản xạ oxytocin trước khi vắt sữa có quan trọng không?,Tài liệu khóa học Nuôi con bằng sữa mẹ.pdf,tài liệu khóa học nuôi con bằng sữa mẹ.pdf,exact_lexical,KB1_Standard
Bú mẹ theo nhu cầu được định nghĩa như thế nào?,Tài liệu khóa học Nuôi con bằng sữa mẹ.pdf,tài liệu khóa học nuôi con bằng sữa mẹ.pdf,exact_lexical,KB1_Standard
Em có nên đánh đòn khi con không nghe lời không?,Sách Không ai hoàn hảo - Hành vi,sách không ai hoàn hảo - hành vi,noisy_conversational,KB1_Standard
"Khi bé bị hạ thân nhiệt nhẹ, em có thể tự xử lý tại nhà bằng cách đội mũ hay đắp thêm chăn ấm cho con được không, hay phải dùng thiết bị chuyên dụng ạ",Hạ thân nhiệt ở trẻ sơ sinh.docx,hạ thân nhiệt ở trẻ sơ sinh.docx,noisy_conversational,KB1_Standard
Nguyên nhân dẫn đến viêm hạch bạch huyết?,qa_me_bim_sau_sinh_100.csv.xlsx,qa_me_bim_sau_sinh_100.csv.xlsx,noisy_conversational,KB1_Standard
Hormon nào chịu trách nhiệm tạo sữa và hormon nào giúp phun sữa?,Tài liệu khóa học Nuôi con bằng sữa mẹ.pdf,tài liệu khóa học nuôi con bằng sữa mẹ.pdf,noisy_conversational,KB1_Standard
Sau khi sinh bao lâu thì em có thể bắt đầu tập các bài thể dục nhẹ nhàng để lấy lại vóc dáng ạ?,Một số câu sản phụ thường hỏi trong thời kỳ hậu sản.docx,một số câu sản phụ thường hỏi trong thời kỳ hậu sản.docx,noisy_conversational,KB1_Standard
Sau sinh bao lâu thì em có thể đi đặt vòng tránh thai được ạ?,Sổ tay 4Steps - Trang 55,sổ tay 4steps - trang 55,noisy_conversational,KB1_Standard
"Em bị mất ngủ và căng thẳng quá, em có nên dùng trà thảo mộc gì không?","Sổ tay 4Steps - Trang 26,27","sổ tay 4steps - trang 26,27",noisy_conversational,KB1_Standard
"Mỗi lần chơi với con, em nên duy trì trong bao lâu là phù hợp để bé không bị quá tải hay quấy khóc vì mệt ạ?",20 trò chơi thú vị.docx,20 trò chơi thú vị.docx,noisy_conversational,KB1_Standard
Em có nên cho bé xem tivi hoặc điện thoại sớm để bé nhanh biết nói và nhận biết mặt chữ không ạ?,Sách Không ai hoàn hảo - Trí tuệ,sách không ai hoàn hảo - trí tuệ,noisy_conversational,KB1_Standard
Tại sao mẹ nên cho trẻ bú hết một bên vú rồi mới chuyển sang vú kia?,Tài liệu khóa học Nuôi con bằng sữa mẹ.pdf,tài liệu khóa học nuôi con bằng sữa mẹ.pdf,noisy_conversational,KB1_Standard
"Em thấy chân của bé có vẻ yếu và không chịu đứng vững khi em dắt tay, những dấu hiệu nào khác cảnh báo con em đang bị chậm vận động",Dấu hiệu cảnh báo trẻ chậm biết đi.docx,dấu hiệu cảnh báo trẻ chậm biết đi.docx,noisy_conversational,KB1_Standard
Nuôi con bằng sữa mẹ thì người mẹ có lợi ích gì về lâu dài không?,1445371_Improving-the-quality-and-care-of ,1445371_improving-the-quality-and-care-of,noisy_conversational,KB1_Standard
"Tình trạng đau nhức toàn thân sau sinh của em thì xoa bóp, massage toàn thân như thế nào để hiệu quả ạ?",Sau sinh bị nhức mỏi toàn thân.docx,sau sinh bị nhức mỏi toàn thân.docx,noisy_conversational,KB1_Standard
