row_index,sample_id,topic,question,reference_answer,prediction,gold_context_rank,gold_context_hit5,retrieved_context_hashes,generation_context_hashes,context_estimated_tokens,prompt_tokens,completion_tokens,latency_s,status,error
0,drug_7107,drug,Có bắt buộc phải sử dụng thuốc Carbogast trong khi mang thai và cho con bú không?,"Không bắt buộc, nên dùng thuốc theo đúng chỉ định của bác sĩ.",Không bắt buộc phải sử dụng thuốc Carbogast trong khi mang thai và cho con bú. Bạn vẫn nên hỏi ý kiến bác sĩ trước khi sử dụng.,1,True,7edcb39a58f4d1d4b346|8bf8aeb5d1ac3dbf1cf3|3a5925ba89518c16d876|71b7de5c1a5aec550a57|3fdbb4e7a7b7913fdef6,7edcb39a58f4d1d4b346|8bf8aeb5d1ac3dbf1cf3|3a5925ba89518c16d876|71b7de5c1a5aec550a57|3fdbb4e7a7b7913fdef6,511,502,34,1.275126900000032,OK,
1,drug_401,drug,"Ngoài giảm đau, Acepron 250 mg còn có thêm tác dụng nào khác?","Ngoài tác dụng giảm đau, Acepron 250 mg còn có thêm tác dụng giảm thân nhiệt ở những người có triệu chứng sốt do cảm cúm, sốt xuất huyết, nhiễm khuẩn, nhiễm siêu vi, mọc răng, sau khi tiêm chủng, sau phẫu thuật.",Chưa đủ thông tin.,1,True,752c8849e914e0465afe|c3fe73a29ad4c092de09|30f32e58eb882974d824|b4012293714828a88942|5fd1ab049bb93d544a29,752c8849e914e0465afe|c3fe73a29ad4c092de09|30f32e58eb882974d824|b4012293714828a88942|5fd1ab049bb93d544a29,883,763,7,0.47274539999853005,OK,
2,drug_6736,drug,Có thể tự ý sử dụng Calci D Hasan khi đang mang thai và cho con bú không?,"Không, không nên tự ý sử dụng thuốc.",Chưa đủ thông tin.,,False,d46340b759e533304370|8bf8aeb5d1ac3dbf1cf3|3a5925ba89518c16d876|0aa6fcf9c3897183d05e|3fdbb4e7a7b7913fdef6,d46340b759e533304370|8bf8aeb5d1ac3dbf1cf3|3a5925ba89518c16d876|0aa6fcf9c3897183d05e|3fdbb4e7a7b7913fdef6,710,629,7,0.4066211999997904,OK,
3,drug_8880,drug,Uống thuốc Comiaryl đúng cách như thế nào?,Nên uống nguyên viên thuốc Comiaryl với một cốc nước đầy.,"Tôi xin lỗi, nhưng thông tin trong ngữ cảnh không liên quan đến thuốc Comiaryl mà liên quan đến cao. Nếu bạn muốn hỏi về cách uống thuốc Comiaryl, tôi cần thông tin cụ thể hơn về thuốc này.",2,True,855c66eb618e7ea7c3f0|b82de553909b835a3dd0|397b7952a6ea9f8ccdb6|3742d850eeeebb4331e9|5a8c163fdcbc3bb83d2e,855c66eb618e7ea7c3f0|b82de553909b835a3dd0|397b7952a6ea9f8ccdb6|3742d850eeeebb4331e9|5a8c163fdcbc3bb83d2e,942,804,48,0.6045569999987492,OK,
4,drug_6738,drug,Calci D Hasan có thể gây ảnh hưởng gì đến bệnh nhân mắc bệnh lý nền?,"Ở bệnh nhân mắc bệnh lý nền, Calci D Hasan có thể gây tăng nhạy cảm với vitamin D, làm tăng nguy cơ gây hại cho sức khỏe.",Chưa đủ thông tin.,,False,059bb8db107115350ecc|1fcaaa9bdf4a11df0871|af22b1a57f91a53c1186|b42c4a91f93ad99c2c5d|338a1c63b256ec4de26a,059bb8db107115350ecc|1fcaaa9bdf4a11df0871|af22b1a57f91a53c1186|b42c4a91f93ad99c2c5d|338a1c63b256ec4de26a,2051,1431,7,0.5328539000001911,OK,
5,drug_6644,drug,Những điều kiện cần tránh khi bảo quản sản phẩm Bổ thần kinh H5000 là gì?,"Sản phẩm cần tránh bảo quản ở nơi ẩm ướt, có ánh sáng mặt trời, nhiệt độ cao hơn 30°C.","Theo thông tin trong NGỮ CẢNH, sản phẩm Bổ thần kinh H5000 cần tránh các điều kiện sau khi bảo quản: - Nơi ẩm ướt - Ánh sáng mặt trời - Nhiệt độ không quá 30°C - Tránh xa tầm tay của trẻ em",1,True,e4e30a3190d4f9cd5810|b4012293714828a88942|496d503052765057e7f4|ac69b622243c95396440|9d2336711ba7f8c01fce,e4e30a3190d4f9cd5810|b4012293714828a88942|496d503052765057e7f4|ac69b622243c95396440|9d2336711ba7f8c01fce,1175,949,67,0.6192833999994036,OK,
6,drug_5860,drug,Ở đâu là nơi thích hợp để Biosubtyl tránh xa tầm tay trẻ em và vật nuôi?,Để xa men vi sinh Biosubtyl khỏi tầm với của trẻ nhỏ và động vật để đảm bảo an toàn.,Nơi khô ráo thoáng mát.,1,True,5772e92451e7c9a2b9b2|8b9df45d5dab28759af6|223bef18db8c88fad0c5|0c0d03ce904d8ea21b09|855250f62a81924c03e3,5772e92451e7c9a2b9b2|8b9df45d5dab28759af6|223bef18db8c88fad0c5|0c0d03ce904d8ea21b09|855250f62a81924c03e3,986,813,10,0.3960603999985324,OK,
7,drug_8040,drug,"Trong trường hợp đau nhiều, liều dùng Cholapan sẽ thay đổi như thế nào?","Có thể uống liều gấp đôi (4 viên/lần, ngày 2 lần).","Trong trường hợp đau nhiều, có thể uống liều gấp đôi Cholapan.",1,True,aeded648cd7695ba6730|47eee7fa9de46ea3ced6|c090dfbae118da34b46f|76b79c98b06ead00a970|9af53de377fa46036e36,aeded648cd7695ba6730|47eee7fa9de46ea3ced6|c090dfbae118da34b46f|76b79c98b06ead00a970|9af53de377fa46036e36,1375,1071,19,0.4608101000012539,OK,
8,drug_8382,drug,Tác dụng của thuốc cisapride trên trẻ em như thế nào?,Tác dụng trên trẻ em chưa được rõ.,"Chưa đủ thông tin. Trong ngữ cảnh được cung cấp, không có thông tin về tác dụng của thuốc cisapride trên trẻ em. Tuy nhiên, trong tài liệu id=""4"", có thông tin về thuốc cisapride và cảnh báo về việc sử dụng thuốc này cùng với một số loại thuốc khác.",,False,d1c845ad896231b78323|1b01ce6cbf5af941be6e|2a6382d34ac0e43798f2|56820addd34973cef470|5a8c163fdcbc3bb83d2e,d1c845ad896231b78323|1b01ce6cbf5af941be6e|2a6382d34ac0e43798f2|56820addd34973cef470|5a8c163fdcbc3bb83d2e,1379,1097,65,0.5654767999985779,OK,
9,drug_5947,drug,Bôi thuốc Bisilkon bao nhiêu lần/ngày?,Thuốc Bisilkon bôi 2 lần/ngày vào buổi sáng và buổi tối.,Bôi thuốc Bisilkon 2 lần/ngày vào buổi sáng và buổi tối.,2,True,8f25bb9bfd451984a07a|ad6a65eff01aeefd1acf|5cd728935ffaf095c7dd|68afe4f1d7f255804899|aeded648cd7695ba6730,8f25bb9bfd451984a07a|ad6a65eff01aeefd1acf|5cd728935ffaf095c7dd|68afe4f1d7f255804899|aeded648cd7695ba6730,1083,963,19,0.4482962000001862,OK,
10,drug_3834,drug,Tỉ lệ liều dùng thuốc Atorpa-E đối với bệnh nhân tăng cholesterol máu và/hoặc bệnh nhân có bệnh mạch vành là bao nhiêu?,Tỉ lệ liều dùng Atorpa-E cho bệnh nhân tăng mỡ và/hoặc có bệnh mạch vành dao động từ 10/10 mg đến 80/10 mg một ngày.,Tỉ lệ liều dùng thuốc Atorpa-E đối với bệnh nhân tăng cholesterol máu và/hoặc bệnh nhân có bệnh mạch vành là 60 - 75%.,1,True,3cc2503e844e776b9dd8|b8b0b2838a223414c0e8|656f05f07660b7ee6123|16db1e83c3ec38810c42|45c58c53cb6c9eaec69c,3cc2503e844e776b9dd8|b8b0b2838a223414c0e8|656f05f07660b7ee6123|16db1e83c3ec38810c42|45c58c53cb6c9eaec69c,1356,1097,38,0.4991937999984657,OK,
11,drug_261,drug,Nên làm gì nếu nghi ngờ bị dị ứng với thuốc Aceclofenac STADA?,"Nếu nghi ngờ bị dị ứng với thuốc Aceclofenac STADA, hãy ngừng dùng thuốc và đến gặp bác sĩ để được tư vấn và điều trị kịp thời.","Nếu nghi ngờ bị dị ứng với thuốc Aceclofenac STADA, bạn nên tránh tiếp xúc với thuốc càng ít càng tốt. Nếu đang trong đợt viêm mũi dị ứng, bạn có thể sử dụng các thuốc điều trị như nhóm thuốc kháng histamin như clorpheniramin, cetirizin, fexofenadin, loratadin... Tuy nhiên, bạn nên hỏi dược sĩ trước khi sử dụng nếu không muốn rơi vào trạng thái lơ mơ trong những ngày làm việc.",1,True,8a98a752c5450c5c66d5|9425221387ccafc5e84a|7e1ddacfd26d63b24de1|c5bb4d0cf43f2c36e94f|d0f5ce1740535935e91f,8a98a752c5450c5c66d5|9425221387ccafc5e84a|7e1ddacfd26d63b24de1|c5bb4d0cf43f2c36e94f|d0f5ce1740535935e91f,1486,1130,104,0.5193053000002692,OK,
12,drug_4924,drug,"Trong quá trình sử dụng Barudon, nếu có bất kỳ phản ứng phụ nào thì người dùng cần làm gì?","Trong quá trình sử dụng Barudon, nếu có bất kỳ phản ứng phụ nào thì người dùng cần liên hệ với cơ sở y tế để được thăm khám cụ thể.",Người dùng cần liên hệ với cơ sở y tế để được thăm khám cụ thể.,1,True,819d64aa0cab6cc2b410|e13a55428fe8a7140500|8a9217a3e625b7df3aaa|db7e7cb5f1556feab7bf|a07074063d848e038a30,819d64aa0cab6cc2b410|e13a55428fe8a7140500|8a9217a3e625b7df3aaa|db7e7cb5f1556feab7bf|a07074063d848e038a30,1149,898,18,2.664845899998909,OK,
13,drug_1508,drug,Sử dụng Aldactone (spironolactone) ở bệnh nhân mẫn cảm với spironolactone sẽ gây ra tác hại gì?,"Ở những bệnh nhân mẫn cảm với spironolactone, thuốc này có thể gây ra các phản ứng dị ứng nghiêm trọng, có thể mengan dọa tính mạng.",Sử dụng Aldactone (spironolactone) ở bệnh nhân mẫn cảm với spironolactone sẽ gây ra tác hại là phản ứng mẫn cảm nghiêm trọng.,1,True,45a6558462198ffb165a|64d53c0d3b8de4c26432|b645d7011eeb24a30be7|f0a848a32b99b92969bb|f887cb1289210f1ea209,45a6558462198ffb165a|64d53c0d3b8de4c26432|b645d7011eeb24a30be7|f0a848a32b99b92969bb|f887cb1289210f1ea209,1496,1134,40,6.964498599998478,OK,
14,drug_7191,drug,"Nếu tôi quên uống một liều Cardilopin, tôi nên làm gì?","Bạn nên dùng bổ sung ngay khi nhớ ra, trường hợp nhớ ra trễ hơn 12 giờ so với giờ dùng thuốc hàng ngày, hãy bỏ qua liều đã quên và không dùng thêm thuốc để bù khi dùng liều tiếp theo.","Theo thông tin trong NGỮ CẢNH, nếu bạn quên uống một liều Cardilopin, bạn nên uống lại ngay khi nhớ ra.",,False,a07074063d848e038a30|8e446cc4517db49cf9cc|c0e5762bd8f99504fe3a|a07074063d848e038a30|3118483da555f7b08fa2,a07074063d848e038a30|8e446cc4517db49cf9cc|c0e5762bd8f99504fe3a|a07074063d848e038a30|3118483da555f7b08fa2,1722,1232,35,0.48422710000158986,OK,
15,drug_8244,drug,"Đối với trẻ em, cần chú ý gì khi sử dụng thuốc Cilzec?","Độ hiệu quả, an toàn của thuốc trên trẻ em chưa được làm rõ. Do đó, chỉ sử dụng thuốc cho trẻ em khi có sự chỉ định của bác sĩ.",Chưa đủ thông tin.,,False,30437212dc3d9a3efb18|98e9c122d5c001beef97|5a8c163fdcbc3bb83d2e|61011ff205768f49b73b|6fae63f32f0fc9713346,30437212dc3d9a3efb18|98e9c122d5c001beef97|5a8c163fdcbc3bb83d2e|61011ff205768f49b73b|6fae63f32f0fc9713346,1191,934,7,0.45705119999911403,OK,
