row_index,sample_id,topic,question,first_gold_rank,hit_at_1,hit_at_3,hit_at_5,latency_s,retrieved_context_hashes
0,drug_7107,drug,Có bắt buộc phải sử dụng thuốc Carbogast trong khi mang thai và cho con bú không?,1,True,True,True,0.370343700000376,7edcb39a58f4d1d4b346|8bf8aeb5d1ac3dbf1cf3|3a5925ba89518c16d876|71b7de5c1a5aec550a57|3fdbb4e7a7b7913fdef6
1,drug_401,drug,"Ngoài giảm đau, Acepron 250 mg còn có thêm tác dụng nào khác?",1,True,True,True,0.06550829999832786,752c8849e914e0465afe|c3fe73a29ad4c092de09|30f32e58eb882974d824|b4012293714828a88942|5fd1ab049bb93d544a29
2,drug_6736,drug,Có thể tự ý sử dụng Calci D Hasan khi đang mang thai và cho con bú không?,,False,False,False,0.06114919999890844,d46340b759e533304370|8bf8aeb5d1ac3dbf1cf3|3a5925ba89518c16d876|0aa6fcf9c3897183d05e|3fdbb4e7a7b7913fdef6
3,drug_8880,drug,Uống thuốc Comiaryl đúng cách như thế nào?,2,False,True,True,0.05362809999860474,855c66eb618e7ea7c3f0|b82de553909b835a3dd0|397b7952a6ea9f8ccdb6|3742d850eeeebb4331e9|5a8c163fdcbc3bb83d2e
4,drug_6738,drug,Calci D Hasan có thể gây ảnh hưởng gì đến bệnh nhân mắc bệnh lý nền?,,False,False,False,0.0624826999992365,059bb8db107115350ecc|1fcaaa9bdf4a11df0871|af22b1a57f91a53c1186|b42c4a91f93ad99c2c5d|338a1c63b256ec4de26a
5,drug_6644,drug,Những điều kiện cần tránh khi bảo quản sản phẩm Bổ thần kinh H5000 là gì?,1,True,True,True,0.05719899999894551,e4e30a3190d4f9cd5810|b4012293714828a88942|496d503052765057e7f4|ac69b622243c95396440|9d2336711ba7f8c01fce
6,drug_5860,drug,Ở đâu là nơi thích hợp để Biosubtyl tránh xa tầm tay trẻ em và vật nuôi?,1,True,True,True,0.060798000002250774,5772e92451e7c9a2b9b2|8b9df45d5dab28759af6|223bef18db8c88fad0c5|0c0d03ce904d8ea21b09|855250f62a81924c03e3
7,drug_8040,drug,"Trong trường hợp đau nhiều, liều dùng Cholapan sẽ thay đổi như thế nào?",1,True,True,True,0.08026750000135507,aeded648cd7695ba6730|47eee7fa9de46ea3ced6|c090dfbae118da34b46f|76b79c98b06ead00a970|9af53de377fa46036e36
8,drug_8382,drug,Tác dụng của thuốc cisapride trên trẻ em như thế nào?,,False,False,False,0.08421660000021802,d1c845ad896231b78323|1b01ce6cbf5af941be6e|2a6382d34ac0e43798f2|56820addd34973cef470|5a8c163fdcbc3bb83d2e
9,drug_5947,drug,Bôi thuốc Bisilkon bao nhiêu lần/ngày?,2,False,True,True,0.07430089999979828,8f25bb9bfd451984a07a|ad6a65eff01aeefd1acf|5cd728935ffaf095c7dd|68afe4f1d7f255804899|aeded648cd7695ba6730
10,drug_3834,drug,Tỉ lệ liều dùng thuốc Atorpa-E đối với bệnh nhân tăng cholesterol máu và/hoặc bệnh nhân có bệnh mạch vành là bao nhiêu?,1,True,True,True,0.0691049999986717,3cc2503e844e776b9dd8|b8b0b2838a223414c0e8|656f05f07660b7ee6123|16db1e83c3ec38810c42|45c58c53cb6c9eaec69c
