question_id,dataset,query_type,question,expected_sources,config,selected_alpha,table_bonus,hit_at_5,rr_at_5,latency_seconds,retrieved_sources
Q0001,KB1_Standard,Ngữ nghĩa,Làm sao để dạy con cách kiểm soát cảm giác tức giận mà không la hét?,sách không ai hoàn hảo - hành vi,Fixed alpha = 0.3,0.3,False,0,0.0,1.6314813999924809,hành vi - không ai hoàn hảo.pdf | hành vi - không ai hoàn hảo.pdf | hành vi - không ai hoàn hảo.pdf | hành vi - không ai hoàn hảo.pdf | sức khỏe - không ai hoàn hảo.pdf
Q0001,KB1_Standard,Ngữ nghĩa,Làm sao để dạy con cách kiểm soát cảm giác tức giận mà không la hét?,sách không ai hoàn hảo - hành vi,Fixed alpha = 0.4,0.4,False,0,0.0,0.11399899999378249,hành vi - không ai hoàn hảo.pdf | hành vi - không ai hoàn hảo.pdf | sức khỏe - không ai hoàn hảo.pdf | hành vi - không ai hoàn hảo.pdf | hành vi - không ai hoàn hảo.pdf
Q0001,KB1_Standard,Ngữ nghĩa,Làm sao để dạy con cách kiểm soát cảm giác tức giận mà không la hét?,sách không ai hoàn hảo - hành vi,Fixed alpha = 0.5,0.5,False,0,0.0,0.1275337999977637,hành vi - không ai hoàn hảo.pdf | sức khỏe - không ai hoàn hảo.pdf | hành vi - không ai hoàn hảo.pdf | hành vi - không ai hoàn hảo.pdf | hành vi - không ai hoàn hảo.pdf
Q0001,KB1_Standard,Ngữ nghĩa,Làm sao để dạy con cách kiểm soát cảm giác tức giận mà không la hét?,sách không ai hoàn hảo - hành vi,Fixed alpha = 0.7,0.7,False,0,0.0,0.12424019997706637,hành vi - không ai hoàn hảo.pdf | sức khỏe - không ai hoàn hảo.pdf | hành vi - không ai hoàn hảo.pdf | hành vi - không ai hoàn hảo.pdf | hành vi - không ai hoàn hảo.pdf
Q0001,KB1_Standard,Ngữ nghĩa,Làm sao để dạy con cách kiểm soát cảm giác tức giận mà không la hét?,sách không ai hoàn hảo - hành vi,Adaptive alpha,0.7,False,0,0.0,0.13062889999127947,hành vi - không ai hoàn hảo.pdf | sức khỏe - không ai hoàn hảo.pdf | hành vi - không ai hoàn hảo.pdf | hành vi - không ai hoàn hảo.pdf | hành vi - không ai hoàn hảo.pdf
Q0001,KB1_Standard,Ngữ nghĩa,Làm sao để dạy con cách kiểm soát cảm giác tức giận mà không la hét?,sách không ai hoàn hảo - hành vi,Adaptive alpha + table bonus,0.7,True,0,0.0,0.134123100026045,hành vi - không ai hoàn hảo.pdf | sức khỏe - không ai hoàn hảo.pdf | hành vi - không ai hoàn hảo.pdf | hành vi - không ai hoàn hảo.pdf | hành vi - không ai hoàn hảo.pdf
Q0002,KB1_Standard,Ngữ nghĩa,Kích thích phản xạ oxytocin trước khi vắt sữa có quan trọng không?,tài liệu khóa học nuôi con bằng sữa mẹ.pdf,Fixed alpha = 0.3,0.3,False,1,0.2,0.145559000025969,bo_de_me_va_be.xlsx | bo_de_me_va_be.xlsx | bo_de_me_va_be.xlsx | bo_de_me_va_be.xlsx | tài liệu khóa học nuôi con bằng sữa mẹ.pdf
Q0002,KB1_Standard,Ngữ nghĩa,Kích thích phản xạ oxytocin trước khi vắt sữa có quan trọng không?,tài liệu khóa học nuôi con bằng sữa mẹ.pdf,Fixed alpha = 0.4,0.4,False,1,0.2,0.13798229998792522,bo_de_me_va_be.xlsx | bo_de_me_va_be.xlsx | bo_de_me_va_be.xlsx | bo_de_me_va_be.xlsx | tài liệu khóa học nuôi con bằng sữa mẹ.pdf
Q0002,KB1_Standard,Ngữ nghĩa,Kích thích phản xạ oxytocin trước khi vắt sữa có quan trọng không?,tài liệu khóa học nuôi con bằng sữa mẹ.pdf,Fixed alpha = 0.5,0.5,False,1,0.2,0.12722860000212677,bo_de_me_va_be.xlsx | bo_de_me_va_be.xlsx | bo_de_me_va_be.xlsx | bo_de_me_va_be.xlsx | tài liệu khóa học nuôi con bằng sữa mẹ.pdf
Q0002,KB1_Standard,Ngữ nghĩa,Kích thích phản xạ oxytocin trước khi vắt sữa có quan trọng không?,tài liệu khóa học nuôi con bằng sữa mẹ.pdf,Fixed alpha = 0.7,0.7,False,1,0.25,0.15601479998440482,bo_de_me_va_be.xlsx | bo_de_me_va_be.xlsx | bo_de_me_va_be.xlsx | tài liệu khóa học nuôi con bằng sữa mẹ.pdf | bo_de_me_va_be.xlsx
