config,turn,question,history_chars_raw,history_chars_model,summary_updated,api_calls,summary_prompt_tokens,processing_prompt_tokens,prompt_tokens_total,completion_tokens_total,latency_s,intent,rewritten,status,error
ACM_MERGED,1,"Bé nhà tôi 8 tháng tuổi, tôi muốn tìm hiểu về ăn dặm và vẫn tiếp tục cho bé bú mẹ. Tôi nên lưu ý những thông tin nào trong giai đoạn này?",0,0,False,1,0,613,613,32,0.524543,RAG,Trẻ 8 tháng tuổi có nên ăn dặm và vẫn tiếp tục bú mẹ không?,OK,
ACM_MERGED,2,Nếu tôi hỏi tiếp về số bữa ăn dặm mỗi ngày thì hệ thống có giữ được thông tin bé đang 8 tháng tuổi từ câu trước không?,311,311,False,1,0,694,694,29,0.369062,RAG,Bé 8 tháng tuổi nên ăn dặm bao nhiêu bữa mỗi ngày?,OK,
ACM_MERGED,3,"Còn sữa mẹ thì sao, tôi vẫn muốn hỏi cho chính bé 8 tháng tuổi ở trên chứ không chuyển sang một trẻ ở nhóm tuổi khác.",561,454,True,2,410,739,1149,84,0.786442,RAG,Bé 8 tháng tuổi cần lưu ý gì về sữa mẹ?,OK,
ACM_MERGED,4,Nếu tôi chỉ viết ngắn là 'còn vitamin thì sao' thì thông tin tuổi của bé và chủ đề trước đó có được dùng để làm rõ câu hỏi không?,830,473,True,2,459,744,1203,82,0.729701,RAG,Bé 8 tháng tuổi cần bổ sung vitamin gì?,OK,
ACM_MERGED,5,"Tôi muốn quay lại chủ đề ăn dặm. Khi hỏi tiếp mà không nhắc lại tuổi, hãy hiểu rằng tôi vẫn đang nói về bé 8 tháng tuổi của mình.",1093,496,True,2,464,752,1216,90,0.744716,RAG,Bé 8 tháng tuổi cần bổ sung vitamin gì?,OK,
ACM_MERGED,6,Nếu câu tiếp theo của tôi là 'nên ăn mấy bữa' thì hệ thống cần viết lại thành câu đầy đủ nhưng không tự thêm những vấn đề tôi chưa hỏi.,1366,506,True,2,470,759,1229,93,0.727399,RAG,Bé 8 tháng tuổi nên ăn bao nhiêu bữa mỗi ngày?,OK,
ACM_MERGED,7,"Sau nhiều lượt như vậy, tôi vẫn muốn hệ thống nhớ bé 8 tháng tuổi nhưng không cần gửi lại nguyên văn toàn bộ các câu trao đổi từ đầu.",1638,505,True,2,477,750,1227,92,0.758261,RAG,Bé 8 tháng tuổi nên ăn mấy bữa mỗi ngày?,OK,
ACM_MERGED,8,Bây giờ tôi hỏi 'còn sữa mẹ thì sao' một lần nữa; câu này vẫn thuộc chuỗi trao đổi về bé 8 tháng tuổi và không phải một chủ đề mới.,1927,522,True,2,471,756,1227,92,0.729068,RAG,Bé 8 tháng tuổi cần lưu ý gì về sữa mẹ?,OK,
ACM_MERGED,9,Nếu tôi hỏi thêm về ăn bổ sung thì vẫn giữ tuổi 8 tháng và đừng lấy khuyến nghị chỉ dành cho nhóm tuổi khác để áp vào bé.,2197,503,True,2,471,751,1222,90,0.722601,RAG,Bé 8 tháng tuổi cần ăn bổ sung gì?,OK,
ACM_MERGED,10,"Ở lượt cuối này, tôi muốn biết hệ thống còn giữ được đối tượng đang hỏi là bé 8 tháng tuổi sau khi lịch sử đã dài hay không.",2458,494,True,2,473,744,1217,100,0.756111,RAG,Bé 8 tháng tuổi có thể giữ được đối tượng đang hỏi sau khi lịch sử đã dài không?,OK,
