index,question,expected_source,first_gold_rank,hit@1,hit@3,hit@5,rr@5,latency_s,retrieved_sources
1,Tiêu chí lâm sàng đối với người mắc COVID-19 được quản lý tại nhà là gì?,100316365.pdf,1,1,1,1,1.0,0.5869574999960605,100316365.pdf | 100316365.pdf | 100316365.pdf | 100316365.pdf | 100316365.pdf
2,Người mắc COVID-19 cách ly tại nhà cần tự theo dõi những chỉ số sức khỏe nào hàng ngày?,100316365.pdf,1,1,1,1,1.0,0.09416789999522734,100316365.pdf | 100316365.pdf | 100316365.pdf | 100316365.pdf | 100316365.pdf
3,Những vật dụng y tế thiết yếu nào cần chuẩn bị khi quản lý điều trị COVID-19 tại nhà?,100316365.pdf,1,1,1,1,1.0,0.07961329999670852,100316365.pdf | 100316365.pdf | 100316365.pdf | 100316365.pdf | 100316365.pdf
4,Nêu các loại thuốc điều trị tại nhà cần chuẩn bị cho người mắc COVID-19 theo hướng dẫn của Bộ Y tế?,100316365.pdf,1,1,1,1,1.0,0.08538360000238754,100316365.pdf | 100316365.pdf | 100316365.pdf | 100316365.pdf | 100316365.pdf
5,"Khi nào F0 điều trị tại nhà cần khai báo ngay với Cơ sở quản lý để được hỗ trợ cấp cứu, chuyển viện?",100316365.pdf,1,1,1,1,1.0,0.10185210000054212,100316365.pdf | 100316365.pdf | 100316365.pdf | 100316365.pdf | 100316365.pdf
6,Định nghĩa nhịp thở nhanh theo độ tuổi ở trẻ em dưới 5 tuổi mắc COVID-19 để nhận biết dấu hiệu bất thường là gì?,100316365.pdf,1,1,1,1,1.0,0.10514279999915743,100316365.pdf | 100316365.pdf | 100316365.pdf | 100316365.pdf | 100316365.pdf
7,Liều lượng thuốc Paracetamol hạ sốt cho trẻ em và người lớn mắc COVID-19 tại nhà được quy định ra sao?,100316365.pdf,1,1,1,1,1.0,0.11085019999882206,100316365.pdf | 100316365.pdf | 100316365.pdf | quyet-dinh-2760-byt-huong-dan-chan-doan-dieu-tri-sot-xuat-huyet-dengue.pdf | 100316365.pdf
8,"Theo hướng dẫn của Bộ Y tế, bệnh sốt xuất huyết Dengue được phân chia thành mấy mức độ lâm sàng?",quyet-dinh-2760-byt-huong-dan-chan-doan-dieu-tri-sot-xuat-huyet-dengue.pdf,1,1,1,1,1.0,0.12497040000016568,quyet-dinh-2760-byt-huong-dan-chan-doan-dieu-tri-sot-xuat-huyet-dengue.pdf | quyet-dinh-2760-byt-huong-dan-chan-doan-dieu-tri-sot-xuat-huyet-dengue.pdf | quyet-dinh-2760-byt-huong-dan-chan-doan-dieu-tri-sot-xuat-huyet-dengue.pdf | quyet-dinh-2760-byt-huong-dan-chan-doan-dieu-tri-sot-xuat-huyet-dengue.pdf | quyet-dinh-2760-byt-huong-dan-chan-doan-dieu-tri-sot-xuat-huyet-dengue.pdf
9,Triệu chứng lâm sàng đặc trưng của bệnh sốt xuất huyết Dengue trong giai đoạn sốt là gì?,quyet-dinh-2760-byt-huong-dan-chan-doan-dieu-tri-sot-xuat-huyet-dengue.pdf,1,1,1,1,1.0,0.10821459999715444,quyet-dinh-2760-byt-huong-dan-chan-doan-dieu-tri-sot-xuat-huyet-dengue.pdf | quyet-dinh-2760-byt-huong-dan-chan-doan-dieu-tri-sot-xuat-huyet-dengue.pdf | 17_ tay chân miệng.pdf | quyet-dinh-2760-byt-huong-dan-chan-doan-dieu-tri-sot-xuat-huyet-dengue.pdf | quyet-dinh-2760-byt-huong-dan-chan-doan-dieu-tri-sot-xuat-huyet-dengue.pdf
10,Nêu các triệu chứng cần đặc biệt lưu ý trong phân độ Sốt xuất huyết Dengue có dấu hiệu cảnh báo?,quyet-dinh-2760-byt-huong-dan-chan-doan-dieu-tri-sot-xuat-huyet-dengue.pdf,1,1,1,1,1.0,0.118861899994954,quyet-dinh-2760-byt-huong-dan-chan-doan-dieu-tri-sot-xuat-huyet-dengue.pdf | quyet-dinh-2760-byt-huong-dan-chan-doan-dieu-tri-sot-xuat-huyet-dengue.pdf | quyet-dinh-2760-byt-huong-dan-chan-doan-dieu-tri-sot-xuat-huyet-dengue.pdf | quyet-dinh-2760-byt-huong-dan-chan-doan-dieu-tri-sot-xuat-huyet-dengue.pdf | quyet-dinh-2760-byt-huong-dan-chan-doan-dieu-tri-sot-xuat-huyet-dengue.pdf
