scenario_id,scenario_title,source_note,method,memory_mode,question,raw_history_messages,processed_history_messages,raw_history_chars,processed_history_chars,history_reduction_percent,api_calls_logged,summary_tokens,rewrite_tokens,api_tokens_logged_total,api_tokens_logged_each,elapsed_s,rewritten_question,intent,context_ok,matched_keywords,missing_keyword_groups,error
vitamin_d,Vitamin D ở trẻ bú mẹ trong 6 tháng đầu,KB1 câu 398–400.,no_memory,none,Loại vitamin đó còn có thể được bổ sung từ những nguồn nào?,10,0,1515,0,100.0,1,0,887,887,887,0.937,Vitamin D cho trẻ 6 tháng tuổi có thể được bổ sung từ những nguồn nào?,OUT_OF_SCOPE,True,vitamin d | 6 tháng | bổ sung từ,,
vitamin_d,Vitamin D ở trẻ bú mẹ trong 6 tháng đầu,KB1 câu 398–400.,fixed_window,last_6_messages,Loại vitamin đó còn có thể được bổ sung từ những nguồn nào?,10,6,1515,1109,26.8,1,0,1211,1211,1211,0.414,Vitamin D cho trẻ 6 tháng tuổi có thể được bổ sung từ những nguồn nào?,RAG,True,vitamin d | 6 tháng | bổ sung từ,,
vitamin_d,Vitamin D ở trẻ bú mẹ trong 6 tháng đầu,KB1 câu 398–400.,full_history,full,Loại vitamin đó còn có thể được bổ sung từ những nguồn nào?,10,10,1515,1515,0.0,1,0,1335,1335,1335,0.503,Vitamin D cho trẻ 6 tháng tuổi bú mẹ có thể được bổ sung từ những nguồn nào?,RAG,True,vitamin d | 6 tháng | bổ sung từ,,
vitamin_d,Vitamin D ở trẻ bú mẹ trong 6 tháng đầu,KB1 câu 398–400.,summary_only,summary_only,Loại vitamin đó còn có thể được bổ sung từ những nguồn nào?,10,1,1515,346,77.16,2,756,1001,1757,756 | 1001,1.112,"Vitamin D cho trẻ 6 tháng tuổi có thể được bổ sung từ những nguồn nào, bao gồm thực phẩm bổ sung, sữa bổ sung hoặc các nguồn tự nhiên như cá, trứng và sữa?",RAG,True,vitamin d | 6 tháng | bổ sung từ,,
vitamin_d,Vitamin D ở trẻ bú mẹ trong 6 tháng đầu,KB1 câu 398–400.,acm,strong_summary,Loại vitamin đó còn có thể được bổ sung từ những nguồn nào?,10,3,1515,558,63.17,2,699,1057,1756,699 | 1057,0.835,Vitamin D cho trẻ 6 tháng tuổi có thể được bổ sung từ những nguồn nào?,RAG,True,vitamin d | 6 tháng | bổ sung từ,,
oral_care,Vệ sinh răng miệng khi trẻ bắt đầu mọc răng,KB1 câu 196 và 198.,no_memory,none,Còn khi bé chưa mọc răng thì nên dùng dụng cụ gì để vệ sinh?,10,0,1445,0,100.0,1,0,890,890,890,0.397,Dụng cụ vệ sinh nào nên sử dụng cho trẻ chưa mọc răng?,RAG,False,dụng cụ vệ sinh | dụng cụ,(6 tháng OR trẻ 6 tháng),
oral_care,Vệ sinh răng miệng khi trẻ bắt đầu mọc răng,KB1 câu 196 và 198.,fixed_window,last_6_messages,Còn khi bé chưa mọc răng thì nên dùng dụng cụ gì để vệ sinh?,10,6,1445,1063,26.44,1,0,1205,1205,1205,0.46,Dụng cụ vệ sinh cho trẻ chưa mọc răng nên được chọn lựa phù hợp để tránh gây tổn thương cho nướu và lợi.,RAG,False,dụng cụ vệ sinh | dụng cụ,(6 tháng OR trẻ 6 tháng),
oral_care,Vệ sinh răng miệng khi trẻ bắt đầu mọc răng,KB1 câu 196 và 198.,full_history,full,Còn khi bé chưa mọc răng thì nên dùng dụng cụ gì để vệ sinh?,10,10,1445,1445,0.0,1,0,1325,1325,1325,0.437,Dụng cụ vệ sinh răng miệng cho trẻ 6 tháng tuổi chưa mọc răng là gì?,RAG,True,vệ sinh răng miệng | 6 tháng | dụng cụ,,
oral_care,Vệ sinh răng miệng khi trẻ bắt đầu mọc răng,KB1 câu 196 và 198.,summary_only,summary_only,Còn khi bé chưa mọc răng thì nên dùng dụng cụ gì để vệ sinh?,10,1,1445,305,78.89,2,734,995,1729,734 | 995,1.073,"Khi bé 6 tháng tuổi chưa mọc răng, nên dùng gạc mềm thấm nước sạch để vệ sinh răng miệng.",RAG,True,vệ sinh răng miệng | 6 tháng | gạc mềm,,
oral_care,Vệ sinh răng miệng khi trẻ bắt đầu mọc răng,KB1 câu 196 và 198.,acm,strong_summary,Còn khi bé chưa mọc răng thì nên dùng dụng cụ gì để vệ sinh?,10,3,1445,494,65.81,2,686,1050,1736,686 | 1050,0.94,Dụng cụ vệ sinh vùng miệng cho trẻ 6 tháng tuổi chưa mọc răng là gì?,RAG,True,dụng cụ vệ sinh | 6 tháng | dụng cụ,,
complementary_feeding,Độ đặc và lượng thức ăn khi trẻ bắt đầu ăn dặm,KB1 câu 19–20 và 289–292.,no_memory,none,Còn độ đặc và số lượng thì áp dụng nguyên tắc nào cho bé?,10,0,1463,0,100.0,1,0,888,888,888,0.522,Độ đặc và số lượng sữa cho trẻ sơ sinh cần được tuân thủ theo nguyên tắc nào để đảm bảo sự phát triển khỏe mạnh?,RAG,False,độ đặc,(ăn bổ sung OR ăn dặm) | (6 tháng OR trẻ 6 tháng),
complementary_feeding,Độ đặc và lượng thức ăn khi trẻ bắt đầu ăn dặm,KB1 câu 19–20 và 289–292.,fixed_window,last_6_messages,Còn độ đặc và số lượng thì áp dụng nguyên tắc nào cho bé?,10,6,1463,1064,27.27,1,0,1206,1206,1206,0.426,Nguyên tắc độ đặc và số lượng thức ăn cho trẻ 6 tháng tuổi là gì?,RAG,False,6 tháng | độ đặc,(ăn bổ sung OR ăn dặm),
complementary_feeding,Độ đặc và lượng thức ăn khi trẻ bắt đầu ăn dặm,KB1 câu 19–20 và 289–292.,full_history,full,Còn độ đặc và số lượng thì áp dụng nguyên tắc nào cho bé?,10,10,1463,1463,0.0,1,0,1336,1336,1336,0.601,"Nguyên tắc độ đặc và số lượng thức ăn cho trẻ 6 tháng tuổi khi bắt đầu ăn dặm là từ loãng đến đặc, từ ít đến nhiều.",RAG,True,ăn dặm | 6 tháng | độ đặc,,
complementary_feeding,Độ đặc và lượng thức ăn khi trẻ bắt đầu ăn dặm,KB1 câu 19–20 và 289–292.,summary_only,summary_only,Còn độ đặc và số lượng thì áp dụng nguyên tắc nào cho bé?,10,1,1463,456,68.83,2,754,1037,1791,754 | 1037,0.939,"Nguyên tắc độ đặc và số lượng sữa mẹ cho trẻ 6 tháng tuổi khi bắt đầu ăn dặm và ăn bổ sung là từ loãng đến đặc, từ ít đến nhiều.",RAG,True,ăn bổ sung | 6 tháng | độ đặc,,
complementary_feeding,Độ đặc và lượng thức ăn khi trẻ bắt đầu ăn dặm,KB1 câu 19–20 và 289–292.,acm,strong_summary,Còn độ đặc và số lượng thì áp dụng nguyên tắc nào cho bé?,10,3,1463,582,60.22,2,703,1083,1786,703 | 1083,0.874,Nguyên tắc độ đặc và số lượng thức ăn cho trẻ 6 tháng tuổi khi bắt đầu ăn dặm là gì?,RAG,True,ăn dặm | 6 tháng | độ đặc,,
