question,ground_truth,source,answer,num_docs
Trẻ sơ sinh được định nghĩa là trẻ trong độ tuổi nào,Trẻ sơ sinh là trẻ từ khi lọt lòng mẹ đến 28 ngày tuổi.,viendinhduong_nuoi_duong_cham_soc_tre_so_sinh.pdf,,5
"Trong ngày đầu sau sinh, cần giữ ấm cho trẻ bằng cách nào",Giữ ấm cho trẻ bằng cách cho nằm cùng mẹ.,viendinhduong_nuoi_duong_cham_soc_tre_so_sinh.pdf,,5
Sau khi sinh bao lâu thì mới được tắm hoặc rửa cho trẻ,Không tắm hoặc rửa cho trẻ trong 6 giờ đầu sau sinh.,viendinhduong_nuoi_duong_cham_soc_tre_so_sinh.pdf,,5
Trẻ nên được bú mẹ lần đầu vào thời điểm nào sau sinh,Cho trẻ bú mẹ ngay trong vòng 1 giờ đầu sau sinh và cho bú theo nhu cầu của trẻ.,viendinhduong_nuoi_duong_cham_soc_tre_so_sinh.pdf,,5
"Tại cơ sở y tế, trẻ sơ sinh cần được tiêm các loại vắc xin nào ngay","Trẻ cần được tiêm bắp vitamin K1, tiêm phòng Lao(BCG) và viêm gan B.",viendinhduong_nuoi_duong_cham_soc_tre_so_sinh.pdf,,5
Gia đình cần theo dõi những bộ phận nào của trẻ sơ sinh tại nhà,"Gia đình và bà mẹ cần theo dõi về nhịp thở, màu da, rốn, bàn chân, tiểu tiện và
phân su của trẻ.",viendinhduong_nuoi_duong_cham_soc_tre_so_sinh.pdf,,5
Thế nào là nuôi con bằng sữa mẹ hoàn toàn,"Cho trẻ bú hoàn toàn bằng sữa mẹ mà không cần ăn thêm bất cứ thứ gì
khác, kể cả nước tráng miệng sau khi bú. Cho trẻ bú theo nhu cầu cả ngày
lẫn đêm.",viendinhduong_nuoi_duong_cham_soc_tre_so_sinh.pdf,,5
"Trước khi bế, tắm, thay tã lót cho trẻ hoặc cho trẻ bú, người chăm sóc cần làm gì",Rửa tay bằng xà phòng và nước sạch.,viendinhduong_nuoi_duong_cham_soc_tre_so_sinh.pdf,,5
Liệt kê các dấu hiệu nguy hiểm ở trẻ sơ sinh cần đi khám ngay?,"Sau khi trẻ sinh ra, bà mẹ và gia đình cần theo dõi và phát hiện sớm các dấu hiệu nguy hiểm ở trẻ sơ sinh (trẻ từ khi sinh ra cho đến 28 ngày tuổi) như: Bú kém hoặc bỏ bú, ngủ li bì khó đánh thức, Thở khác thường (thở chậm dưới 40 lần hoặc thở nhanh trên 60 lần trong 1 phút, co rút lồng ngực, cánh mũi phập phồng, khò khè), Sốt cao (trên 38,5 độ C) hoặc hạ nhiệt độ (dưới 36 độ C), co cứng hoặc co giật,  mắt sưng đỏ hoặc có mủ nhiều, rốn sưng đỏ hoặc chảy mủ, Da vàng sau đẻ 24 giờ hoặc kéo dài hơn 2 tuần hoặc da vàng đậm, Nôn liên tục, bụng chướng, Đi ỉa nhiều nước, nhiều lần hơn bình thường, Trẻ không đái, ỉa sau 24 giờ sau khi sinh.",viendinhduong_nuoi_duong_cham_soc_tre_so_sinh.pdf,,5
Cách xử trí tại nhà khi trẻ sơ sinh bị sốt cao?,"Lau người bằng khăn ấm, đắp khăn ấm để hạ nhiệt và đưa ngay đến cơ sở y tế.",viendinhduong_nuoi_duong_cham_soc_tre_so_sinh.pdf,,5
