split,config,dataset,profile,question,alpha,table_bonus,hit_at_5,rr_at_5,latency_seconds
test,Fixed alpha = 0.1,KB1_Standard,exact_lexical,Nguyên tắc cho trẻ ăn dặm về độ đặc và số lượng là gì?,0.1,0.0,0,0.0,0.00010219999239780009
test,Fixed alpha = 0.1,KB1_Standard,exact_lexical,Làm sao để phân biệt vàng da sinh lý và vàng da bệnh lý ở trẻ sơ sinh ạ?,0.1,0.0,0,0.0,0.00010129998554475605
test,Fixed alpha = 0.1,KB1_Standard,exact_lexical,"Trong một bát bột ăn dặm chuẩn cho bé, em cần phải đảm bảo có đủ 4 nhóm chất dinh dưỡng nào ạ?",0.1,0.0,1,1.0,8.159998105838895e-05
test,Fixed alpha = 0.1,KB1_Standard,exact_lexical,Giải pháp hỗ trợ phản xạ oxytocin hoạt động tốt?,0.1,0.0,1,1.0,8.489997708238661e-05
test,Fixed alpha = 0.1,KB1_Standard,exact_lexical,Thiếu vitamin D gây ảnh hưởng như thế nào?,0.1,0.0,0,0.0,7.559999357908964e-05
test,Fixed alpha = 0.1,KB1_Standard,exact_lexical,"Khi con em bước sang tháng thứ 7 đến tháng thứ 9, em có cần tăng thêm số lượng bữa ăn dặm cho bé không bác sĩ?",0.1,0.0,1,0.5,6.609997944906354e-05
test,Fixed alpha = 0.1,KB1_Standard,exact_lexical,"Cho em hỏi vì sao em vẫn cho con bú đều mà vẫn bị tắc tia sữa, nguyên nhân thường gặp là gì ạ?",0.1,0.0,1,1.0,6.920000305399299e-05
test,Fixed alpha = 0.1,KB1_Standard,exact_lexical,Các nguồn bổ sung vitamin D khác?,0.1,0.0,0,0.0,6.650001159869134e-05
test,Fixed alpha = 0.1,KB1_Standard,exact_lexical,"Những ngày trời nắng nóng thế này, em sợ con chỉ bú mẹ sẽ bị khát, em có cần bổ sung thêm nước lọc cho bé không ạ?",0.1,0.0,1,1.0,7.799998275004327e-05
test,Fixed alpha = 0.1,KB1_Standard,exact_lexical,Băng huyết sau sinh sớm và muộn khác nhau ra sao?,0.1,0.0,0,0.0,7.890001870691776e-05
test,Fixed alpha = 0.1,KB1_Standard,exact_lexical,Thuốc đầu tay được lựa chọn để co hồi tử cung dự phòng băng huyết là gì?,0.1,0.0,0,0.0,9.34000127017498e-05
test,Fixed alpha = 0.1,KB1_Standard,exact_lexical,Em thấy sản dịch có màu đen sậm và mùi hôi kèm sốt nhẹ là dấu hiệu gì ạ?,0.1,0.0,0,0.0,0.0001196000084746629
test,Fixed alpha = 0.1,KB1_Standard,exact_lexical,"Để không bị tắc tia sữa lại lần nữa, em nên thay đổi thói quen sinh hoạt và ăn uống như thế nào ạ?",0.1,0.0,1,1.0,7.479998748749495e-05
test,Fixed alpha = 0.1,KB1_Standard,exact_lexical,Băng huyết sau sinh được định nghĩa như thế nào?,0.1,0.0,0,0.0,7.40000104997307e-05
test,Fixed alpha = 0.1,KB1_Standard,noisy_conversational,cho em hỏi lộ trình phát triển vận động bình thường của một em bé khỏe mạnh từ khi sinh ra đến khi biết ngồi vững là thế nào ạ?,0.1,0.0,1,0.5,6.419999408535659e-05
test,Fixed alpha = 0.1,KB1_Standard,noisy_conversational,Sữa mẹ bảo quản trong ngăn mát tủ lạnh (<4°C) được bao lâu?,0.1,0.0,1,1.0,6.570000550709665e-05
test,Fixed alpha = 0.1,KB1_Standard,noisy_conversational,"Ngoài việc cải thiện chuyện tiểu tiện, tập phục hồi sàn chậu có giúp ích gì cho đời sống vợ chồng sau sinh không ạ?",0.1,0.0,1,1.0,6.289998418651521e-05
test,Fixed alpha = 0.1,KB1_Standard,noisy_conversational,có các biện pháp nào để duy trì nguồn sữa mẹ không ạ?,0.1,0.0,0,0.0,6.9500005338341e-05
test,Fixed alpha = 0.1,KB1_Standard,noisy_conversational,"Em cảm thấy rất tội lỗi khi không thể chăm sóc con tốt như mong đợi, đây có phải là dấu hiệu của trầm cảm không?",0.1,0.0,0,0.0,6.510000093840063e-05
test,Fixed alpha = 0.1,KB1_Standard,noisy_conversational,"Làm sao để em biết mình đã mặc tã cho con vừa vặn, không quá chật gây lằn da nhưng cũng không quá lỏng làm tràn tã ạ?",0.1,0.0,1,0.3333333333333333,5.870001041330397e-05
test,Fixed alpha = 0.1,KB1_Standard,noisy_conversational,Nếu con em bị béo phì từ nhỏ thì sau này lớn lên có dễ mắc các bệnh mạn tính nguy hiểm nào không?,0.1,0.0,0,0.0,6.409999332390726e-05
test,Fixed alpha = 0.1,KB1_Standard,noisy_conversational,"Bé nhà em chưa biết nói nhưng hay bập bẹ ""ba ba, ma ma"", em nên phản ứng thế nào để khuyến khích bé ạ?",0.1,0.0,0,0.0,5.909998435527086e-05
test,Fixed alpha = 0.1,KB1_Standard,noisy_conversational,Tại sao phụ nữ mang thai bị phù (cân) phải giảm ăn mặn?,0.1,0.0,1,1.0,6.469999789260328e-05
test,Fixed alpha = 0.1,KB1_Standard,noisy_conversational,"Em đang mang thai tháng cuối, có loại thuốc đặt âm đạo nào an toàn để dự phòng nấm không?",0.1,0.0,0,0.0,6.620000931434333e-05
test,Fixed alpha = 0.1,KB1_Standard,noisy_conversational,Tại sao việc tiêm chủng đúng lịch lại quan trọng đối với sức khỏe của bé vậy bác sĩ?,0.1,0.0,0,0.0,6.150000263005495e-05
test,Fixed alpha = 0.1,KB1_Standard,noisy_conversational,Chỉ em cách xử lý khi chẳng may bé bị bỏng nước sôi tại nhà với ạ?,0.1,0.0,0,0.0,6.239998037926853e-05
test,Fixed alpha = 0.1,KB1_Standard,noisy_conversational,"Trong thời kỳ hậu sản, một vài tuần đầu em thấy có chất dịch chảy ra thì có sao không ạ?",0.1,0.0,0,0.0,6.330001633614302e-05
test,Fixed alpha = 0.1,KB1_Standard,noisy_conversational,Con em đang bị nấm miệng thì em có cần phải tiệt trùng bình sữa hay núm vú giả kỹ hơn bình thường không ạ?,0.1,0.0,1,1.0,5.779997445642948e-05
test,Fixed alpha = 0.1,KB1_Standard,noisy_conversational,"em thấy trên thị trường có nhiều loại tã quá, làm sao để em chọn được loại tã giấy vừa vặn và thoải mái nhất cho bé nhà em ạ?",0.1,0.0,1,1.0,5.529998452402651e-05
test,Fixed alpha = 0.1,KB1_Standard,noisy_conversational,Âm đạo của em tiết mùi hồi gây khó chịu là bị gì vậy ạ,0.1,0.0,0,0.0,5.9999991208314896e-05
test,Fixed alpha = 0.1,KB1_Standard,noisy_conversational,Trẻ nhận sữa mẹ hoàn toàn có cần uống thêm nước trắng không?,0.1,0.0,1,1.0,6.250001024454832e-05
test,Fixed alpha = 0.1,KB1_Standard,noisy_conversational,Liệu bế con không đúng tư thế có phải là một trong những nguyên nhân dẫn đến đau nhức mỏi lưng phải không ạ?,0.1,0.0,1,1.0,6.459999713115394e-05
test,Fixed alpha = 0.1,KB1_Standard,noisy_conversational,Tại sao bé nhà em dạo này hay khóc nhè và bám mẹ không rời vậy?,0.1,0.0,0,0.0,5.7699973694980145e-05
test,Fixed alpha = 0.1,KB1_Standard,noisy_conversational,Chế độ sinh hoạt của bè mẹ sau sinh?,0.1,0.0,0,0.0,6.510000093840063e-05
test,Fixed alpha = 0.1,KB1_Standard,quantitative,"bé nhà em 6 tháng tuổi đang tập ăn dặm mà bị tiêu chảy kéo dài, em có nên tiếp tục cho con ăn cháo cà rốt hay thay đổi chế độ ăn như thế nào không ạ?",0.1,0.0,1,1.0,8.450000314041972e-05
test,Fixed alpha = 0.1,KB1_Standard,quantitative,"Bé em được 11 tháng tuổi, cận nặng 8,8kg, hiện bé mới đi tiêu và có ra giun kim, em muốn hỏi xem hiện nay bé đã xổ giun được chưa và nếu được thì sử dụng thuốc loại gì, liều dùng ra sao?",0.1,0.0,1,1.0,8.970001363195479e-05
test,Fixed alpha = 0.1,KB1_Standard,quantitative,"Ở nhà em nên để nhiệt độ phòng bao nhiêu là tốt nhất và cần làm gì ngay khi sinh để giữ ấm cho bé, tránh cho con bị nhiễm lạnh ạ",0.1,0.0,1,0.5,9.009998757392168e-05
test,Fixed alpha = 0.1,KB1_Standard,quantitative,"Em bị sốt cao, rét run và đau bụng dữ dội sau sinh 2 tuần là dấu hiệu bệnh gì vậy?",0.1,0.0,0,0.0,0.00011160000576637685
test,Fixed alpha = 0.1,KB1_Standard,quantitative,Lượng sữa cần cho trẻ từ khi sinh đến 1 tháng tuổi là bao nhiêu mỗi ngày?,0.1,0.0,1,0.5,9.250000584870577e-05
test,Fixed alpha = 0.1,KB1_Standard,quantitative,"Em mới mổ đẻ được 2 ngày mà giờ bị sốt 38,5 độ C thì có làm sao không ạ?",0.1,0.0,0,0.0,9.400001727044582e-05
test,Fixed alpha = 0.1,KB1_Standard,quantitative,Bé 2 tháng tuổi thì cần phải đi tiêm những loại vắc xin gì theo định kỳ ạ?,0.1,0.0,0,0.0,8.520000847056508e-05
test,Fixed alpha = 0.1,KB1_Standard,quantitative,"định nghĩa chính xác về việc ""nuôi con hoàn toàn bằng sữa mẹ"" trong 6 tháng đầu là như thế nào ạ?",0.1,0.0,1,0.25,8.480000542476773e-05
test,Fixed alpha = 0.1,KB1_Standard,quantitative,"Con em được 10 tháng tuổi rồi, em thấy bé có vẻ nhanh đói, em nên sắp xếp lịch ăn dặm cho bé như thế nào cho phù hợp?",0.1,0.0,0,0.0,8.13000078778714e-05
test,Fixed alpha = 0.1,KB1_Standard,quantitative,Sau 2 tuần mà rốn bé vẫn chưa rụng thì em có cần đưa bé đi viện không ạ?,0.1,0.0,0,0.0,7.800001185387373e-05
test,Fixed alpha = 0.1,KB1_Standard,quantitative,Hậu quả của thiếu dinh dưỡng trong 3 tháng cuối thai kỳ là gì?,0.1,0.0,1,1.0,8.369999704882503e-05
test,Fixed alpha = 0.1,KB1_Standard,quantitative,Mẹ sau sinh cần bổ sung Vitamin A với liều lượng bao nhiêu?,0.1,0.0,0,0.0,7.909999112598598e-05
test,Fixed alpha = 0.1,KB1_Standard,quantitative,"Để tránh tình trạng suy dinh dưỡng ở trẻ 34 tháng tuổi, em nên làm gì ạ?",0.1,0.0,1,0.5,8.420000085607171e-05
test,Fixed alpha = 0.1,KB1_Standard,quantitative,"Bé nhà em vừa tròn 6 tháng và mới tập ăn dặm, mỗi ngày em nên cho con ăn mấy bữa bột là đủ ạ?",0.1,0.0,1,1.0,7.460001506842673e-05
test,Fixed alpha = 0.1,KB1_Standard,quantitative,"Bé nhà em dưới 6 tháng tuổi, em có nên cho con uống thêm chút nước sau khi bú để tráng miệng cho sạch không bác sĩ?",0.1,0.0,1,1.0,7.979999645613134e-05
test,Fixed alpha = 0.1,KB1_Standard,quantitative,Bé nhà em được 3 tháng tuổi rồi ạ. Bé nhà em có nổi nốt sần khắp người. Em có mang bé đi khám thì bác sĩ họ bảo bị viêm da cơ địa. Em xin hỏi cách điều trị bệnh viêm da cơ địa trẻ 3 tháng tuổi?,0.1,0.0,1,1.0,8.150000940077007e-05
test,Fixed alpha = 0.1,KB1_Standard,quantitative,Trẻ từ 7-12 tháng tuổi cần ăn bao nhiêu bữa bột một ngày?,0.1,0.0,1,0.5,8.880000677891076e-05
test,Fixed alpha = 0.1,KB1_Standard,quantitative,Nếu em bị chảy máu nhiều sau sinh (trên 300ml) thì bác sĩ sẽ xử trí gì đầu tiên ạ?,0.1,0.0,0,0.0,8.620001608505845e-05
test,Fixed alpha = 0.1,KB1_Standard,quantitative,Trẻ từ 12-24 tháng tuổi cần ăn bao nhiêu bữa một ngày?,0.1,0.0,1,0.5,7.589999586343765e-05
