scenario,row_id,question,expected_source,expected_answer,predicted_top1_source,top1_source_match,expected_source_in_top5,best_rerank_score,expected_source_best_score,candidate_count,elapsed_seconds,error
KB1,1,Trẻ sơ sinh được định nghĩa là trẻ trong độ tuổi nào,viendinhduong_nuoi_duong_cham_soc_tre_so_sinh.pdf,Trẻ sơ sinh là trẻ từ khi lọt lòng mẹ đến 28 ngày tuổi.,qa_me_bim_sau_sinh_100.xlsx,0,1,7.041872978210449,6.8070831298828125,25,22.621766799999932,
KB1,2,"Trong ngày đầu sau sinh, cần giữ ấm cho trẻ bằng cách nào",viendinhduong_nuoi_duong_cham_soc_tre_so_sinh.pdf,Giữ ấm cho trẻ bằng cách cho nằm cùng mẹ.,dvcsskss_48201712.pdf,0,1,6.97091007232666,5.955665111541748,25,3.7910653000001275,
KB1,3,Sau khi sinh bao lâu thì mới được tắm hoặc rửa cho trẻ,viendinhduong_nuoi_duong_cham_soc_tre_so_sinh.pdf,Không tắm hoặc rửa cho trẻ trong 6 giờ đầu sau sinh.,d3fa1053-wp8-postpartum-care-handbook-viet.pdf,1,1,7.206017017364502,7.206017017364502,25,3.6966471999999158,
KB1,4,Trẻ nên được bú mẹ lần đầu vào thời điểm nào sau sinh,viendinhduong_nuoi_duong_cham_soc_tre_so_sinh.pdf,Cho trẻ bú mẹ ngay trong vòng 1 giờ đầu sau sinh và cho bú theo nhu cầu của trẻ.,d3fa1053-wp8-postpartum-care-handbook-viet.pdf,1,1,7.378148078918457,7.378148078918457,25,3.0880544999999984,
KB1,5,"Tại cơ sở y tế, trẻ sơ sinh cần được tiêm các loại vắc xin nào ngay",viendinhduong_nuoi_duong_cham_soc_tre_so_sinh.pdf,"Trẻ cần được tiêm bắp vitamin K1, tiêm phòng Lao(BCG) và viêm gan B.",sức khỏe - không ai hoàn hảo.pdf,0,0,7.878379821777344,3.952127456665039,25,3.7782422000000224,
KB1,6,Gia đình cần theo dõi những bộ phận nào của trẻ sơ sinh tại nhà,viendinhduong_nuoi_duong_cham_soc_tre_so_sinh.pdf,"Gia đình và bà mẹ cần theo dõi về nhịp thở, màu da, rốn, bàn chân, tiểu tiện và
phân su của trẻ.",dvcsskss_48201712.pdf,0,0,6.892326354980469,,25,3.6322242000001097,
KB1,7,Thế nào là nuôi con bằng sữa mẹ hoàn toàn,viendinhduong_nuoi_duong_cham_soc_tre_so_sinh.pdf,"Cho trẻ bú hoàn toàn bằng sữa mẹ mà không cần ăn thêm bất cứ thứ gì
khác, kể cả nước tráng miệng sau khi bú. Cho trẻ bú theo nhu cầu cả ngày
lẫn đêm.",tài liệu khóa học nuôi con bằng sữa mẹ.pdf,0,1,6.698251724243164,4.498509407043457,25,3.387879699999985,
KB1,8,"Trước khi bế, tắm, thay tã lót cho trẻ hoặc cho trẻ bú, người chăm sóc cần làm gì",viendinhduong_nuoi_duong_cham_soc_tre_so_sinh.pdf,Rửa tay bằng xà phòng và nước sạch.,hướng dẫn về lần thay tã đầu tiên của bé.docx,0,1,5.789758682250977,5.0377302169799805,25,4.177762600000051,
KB1,9,Liệt kê các dấu hiệu nguy hiểm ở trẻ sơ sinh cần đi khám ngay?,viendinhduong_nuoi_duong_cham_soc_tre_so_sinh.pdf,"Sau khi trẻ sinh ra, bà mẹ và gia đình cần theo dõi và phát hiện sớm các dấu hiệu nguy hiểm ở trẻ sơ sinh (trẻ từ khi sinh ra cho đến 28 ngày tuổi) như: Bú kém hoặc bỏ bú, ngủ li bì khó đánh thức, Thở khác thường (thở chậm dưới 40 lần hoặc thở nhanh trên 60 lần trong 1 phút, co rút lồng ngực, cánh mũi phập phồng, khò khè), Sốt cao (trên 38,5 độ C) hoặc hạ nhiệt độ (dưới 36 độ C), co cứng hoặc co giật,  mắt sưng đỏ hoặc có mủ nhiều, rốn sưng đỏ hoặc chảy mủ, Da vàng sau đẻ 24 giờ hoặc kéo dài hơn 2 tuần hoặc da vàng đậm, Nôn liên tục, bụng chướng, Đi ỉa nhiều nước, nhiều lần hơn bình thường, Trẻ không đái, ỉa sau 24 giờ sau khi sinh.",bo_de_me_va_be.xlsx,0,0,6.660854339599609,,25,6.159536200000048,
KB1,10,Cách xử trí tại nhà khi trẻ sơ sinh bị sốt cao?,viendinhduong_nuoi_duong_cham_soc_tre_so_sinh.pdf,"Lau người bằng khăn ấm, đắp khăn ấm để hạ nhiệt và đưa ngay đến cơ sở y tế.",d3fa1053-wp8-postpartum-care-handbook-viet.pdf,0,0,6.064850807189941,3.2702598571777344,25,10.026819899999964,
