question_id,kb,source_row,STT,Câu hỏi người dùng (Input),Nhãn (GT),Phản hồi kỳ vọng (Expected Output),Nguồn (Source)
Q001,KB1,211,210,"Bé nhà em hay hỏi ""Tại sao?"" liên tục, đôi khi em thấy rất mệt mỏi, em có nên trả lời hết các câu hỏi đó không?",RAG,Những câu hỏi này chứng tỏ bé rất tò mò và ham học hỏi; bạn hãy kiên nhẫn trả lời đơn giản hoặc cùng bé đi tìm câu trả lời để khuyến khích tư duy của con.,Sách Không ai hoàn hảo - Trí tuệ
Q002,KB1,282,281,"Em lo ngại các hóa chất trong tã giấy, có loại tã nào không chứa gel siêu thấm hay chất tẩy trắng clo để an toàn hơn cho da bé không ạ?",RAG,"Có, một số cha mẹ không hài lòng về loại gel siêu thấm thường được sử dụng trong tã dùng một lần để hút ẩm và giữ cho bé luôn khô ráo. Với những loại tã không có gel, đệm bông được sử dụng thay thế để thực hiện tính năng thấm hút. Bên cạnh đó, tã không có clo cũng là một lựa chọn khác cho các bậc cha mẹ muốn giảm thiểu sử dụng hóa chất.",Tã dùng một lần.docx
Q003,KB1,35,34,Sữa mẹ chứa bao nhiêu phần trăm là nước?,RAG,Sữa mẹ chứa tới 88% là nước.,Tài liệu khóa học Nuôi con bằng sữa mẹ.pdf
Q004,KB1,212,211,"Làm sao để em giúp bé nhận biết và học tên các màu sắc, hình khối một cách tự nhiên nhất ạ?",RAG,"Bạn hãy lồng ghép vào các hoạt động hàng ngày như: ""Quả táo màu đỏ"", ""Cái hộp hình vuông"", việc học qua thực tế sẽ giúp trẻ ghi nhớ lâu hơn.",Sách Không ai hoàn hảo - Trí tuệ
Q005,KB1,95,94,Sữa non của em màu vàng và đặc thì có tốt cho bé không ạ?,RAG,"Rất tốt • Chất lỏng dày dính màu vàng do các tế bào nang vú tiết ra trong suốt 3 tháng cuối của thai kì và kéo dài 1 thời gian sau sinh • Số lượng ít, năng lượng cao • Chứa ít đường lactose, vitamin tan trong chất béo, natri cao hơn, kẽm và tất cả các yếu tố bảo vệ • Kháng thể bám vào thành ruột để tránh sự xâm nhập các mầm bệnh • Các yếu tố tăng trưởng kích thích sự phát triển của tế bào niêm mạc, biểu mô, tổng hợp ADN, sự phát triển của các cơ quan và hệ thần kinh • Thường sẽ chuyển sang sữa trưởng thành trong 30-40 giờ sau sinh",1445371_Improving-the-quality-and-care-of 
Q006,KB1,86,85,"Em mới sinh bé xong, trong mấy tiếng đầu bác sĩ sẽ theo dõi em thế nào?",RAG,"• Đánh giá và ghi nhận các dấu hiệu sinh tồn 15 phút 1 lần trong giờ đầu sau sinh, sau đó 30 phút 1 lần trong giờ tiếp theo nếu các thông số đạt yêu cầu.",1445371_Improving-the-quality-and-care-of 
Q007,KB1,331,330,"Em có cần phải đánh giá lại sự phát triển của bé thường xuyên không, hay chỉ cần thực hiện một lần khi bé có dấu hiệu lạ ạ?",RAG,"Trẻ em lớn lên và phát triển rất nhanh với tốc độ khác nhau, do đó, điều quan trọng là phải đánh giá lại chúng thường xuyên. Trẻ có thể phát triển nhanh hơn hoặc chậm hơn ở một số khía cạnh so với những bạn đồng trang lứa. Tuy nhiên để xác định sự phát triển nhanh hay chậm ở trẻ có phải là vấn đề nghiêm trọng hay không cần có các đánh giá định kỳ.",Đánh giá sự phát triển của trẻ như thế nào.docx
Q008,KB1,96,95,"Em bị đau núm vú quá, có cách nào để bớt đau khi cho con bú không?",RAG,"Tình trạng đau núm vú thường ổn định trong tuần thứ 2, bạn có thể dùng chính sữa mẹ bôi lên để làm dịu núm vú.",1445371_Improving-the-quality-and-care-of 
Q009,KB1,268,267,"Em nghe nói sau sinh không nên ngồi xổm lâu hoặc rặn mạnh khi đi vệ sinh để tránh sa tử cung, có đúng không?",RAG,"Đúng, việc ngồi xổm kéo dài hoặc rặn mạnh khi đại tiện gây áp lực lớn lên vùng sàn chậu đang tổn thương, làm tăng nguy cơ tử cung bị sa xuống thấp. Nên thay đổi chế độ ăn với nhiều chất xơ, uống nhiều nước hoặc ăn các món ăn giúp hỗ trợ nhuận tràng;",Phòng ngừa sa tử cung sau sinh.docx
Q010,KB1,128,127,Em nghe nói gây tê ngoài màng cứng cũng làm mình bị bí tiểu lâu hơn phải không ạ?,RAG,"Đúng, gây tê ngoài màng cứng có thể làm giảm cảm giác bụng dưới tới 8 giờ, ảnh hưởng tạm thời đến chức năng bàng quang.",Sổ tay 4Steps - Trang 18
Q011,KB1,11,10,Cách xử trí tại nhà khi trẻ sơ sinh bị sốt cao?,RAG,"Lau người bằng khăn ấm, đắp khăn ấm để hạ nhiệt và đưa ngay đến cơ sở y tế.",viendinhduong_nuoi_duong_cham_soc_tre_so_sinh.pdf
