row_index,sample_id,topic,gold_context_hit5,ROUGE_L_F1,METEOR,BERTScore_F1
0,drug_7107,drug,True,31.1111,42.5663,76.5329
1,drug_401,drug,True,3.5714,1.0776,60.6733
2,drug_6736,drug,False,13.3333,5.2632,71.2233
3,drug_8880,drug,True,14.5455,13.245,70.9173
4,drug_6738,drug,False,5.5556,1.7606,62.891
5,drug_6644,drug,True,49.3151,65.8986,75.8756
6,drug_5860,drug,True,7.4074,2.5641,63.3472
7,drug_8040,drug,True,45.1613,46.6411,78.0156
8,drug_8382,drug,False,17.1429,44.4542,68.6868
9,drug_5947,drug,True,92.8571,99.508,94.4933
10,drug_3834,drug,True,56.25,47.4583,87.3275
11,drug_261,drug,True,26.3158,37.8542,77.8892
12,drug_4924,drug,True,68.0,54.1346,88.6801
13,drug_1508,drug,True,50.0,41.0145,82.3187
14,drug_7191,drug,False,20.2899,19.8783,72.3243
15,drug_8244,drug,False,10.0,3.125,66.8135
16,drug_3528,drug,True,15.3846,5.2632,74.1505
17,drug_8923,drug,False,31.7757,67.7593,76.8483
18,drug_2359,drug,True,31.5789,35.4752,74.2406
19,drug_9179,drug,True,46.5116,61.0887,85.9203
20,drug_3124,drug,False,13.1148,13.7828,68.113
21,drug_9616,drug,True,37.6812,68.0267,77.7368
22,drug_764,drug,True,27.2727,44.7209,84.4808
23,drug_9473,drug,False,5.2632,2.4272,66.6537
24,drug_6755,drug,True,33.3333,10.8696,72.7549
25,drug_8842,drug,True,68.75,58.3453,94.2535
26,drug_2769,drug,True,66.6667,91.6127,84.9196
27,drug_4260,drug,False,14.8148,10.4895,69.127
28,drug_4390,drug,False,26.1905,16.5218,76.8965
29,drug_1764,drug,True,100.0,99.9946,100.0
30,drug_2608,drug,True,33.5878,57.0894,75.3739
31,drug_7075,drug,True,32.967,49.1846,76.7322
32,drug_1240,drug,True,22.2222,6.8493,68.9158
33,drug_1560,drug,True,17.3913,18.0583,70.7114
34,drug_1252,drug,True,72.7273,59.6432,79.4302
35,drug_3649,drug,True,53.125,82.8761,85.3827
36,drug_2964,drug,True,96.0,94.9787,97.1946
37,drug_5778,drug,True,35.7143,21.0377,69.9347
38,drug_8877,drug,True,70.8861,88.5372,90.8039
39,drug_4387,drug,True,50.0,81.7901,75.3239
40,drug_3161,drug,True,16.9014,25.1095,73.7238
41,drug_5382,drug,False,48.0,37.3074,81.0158
42,drug_6138,drug,False,17.7778,14.2529,71.9949
43,drug_8374,drug,True,68.9655,78.6063,88.5598
44,drug_9537,drug,True,35.2941,22.8252,70.3046
45,drug_8944,drug,True,40.0,76.1937,79.9909
46,drug_7069,drug,True,95.0,94.9446,94.6535
47,drug_3487,drug,True,11.1111,36.144,71.4658
48,drug_7794,drug,True,20.6897,30.0654,73.3451
49,drug_3577,drug,True,76.3636,72.3174,85.5405
50,drug_4630,drug,True,75.7282,92.0307,88.8588
51,drug_3282,drug,True,82.6087,90.6882,96.6716
52,drug_6413,drug,True,52.1739,87.5743,85.6011
53,drug_6035,drug,True,25.8065,31.1653,74.5017
54,drug_5363,drug,True,100.0,99.95,100.0
55,drug_7272,drug,False,31.1475,26.5771,78.7199
56,drug_1499,drug,True,89.6175,92.4177,93.3791
57,drug_3527,drug,True,52.6316,72.2388,84.8388
58,drug_9358,drug,False,30.3797,46.8409,80.1116
59,drug_8092,drug,True,56.5217,69.188,89.0998
60,drug_6551,drug,False,33.3333,18.7872,80.4404
61,drug_3219,drug,False,100.0,99.8542,100.0
62,drug_2634,drug,True,87.5,83.2119,97.6335
63,drug_3142,drug,False,26.6667,18.6196,73.6841
64,drug_4035,drug,True,83.3333,91.355,92.425
65,drug_8867,drug,True,93.6709,98.6589,94.2638
66,drug_7660,drug,True,57.1429,79.375,86.0254
67,drug_7073,drug,True,6.6667,2.1739,64.4907
68,drug_8766,drug,True,46.5116,80.9756,79.5839
69,drug_2312,drug,True,18.1818,8.4746,73.6647
70,drug_2366,drug,False,15.1515,15.5616,65.7388
71,drug_6812,drug,True,76.6667,80.1008,87.1007
72,drug_8834,drug,False,6.25,3.2328,65.8269
73,drug_1732,drug,True,83.6066,87.0981,93.7879
74,drug_6640,drug,False,44.4444,37.3096,84.8487
75,drug_9045,drug,True,68.4211,84.4029,91.1716
76,drug_7891,drug,True,83.3333,83.0,91.3635
77,drug_8618,drug,False,15.7895,10.5263,65.9899
78,drug_6354,drug,True,35.4839,66.4711,74.7587
79,drug_9361,drug,False,11.1111,25.443,71.0012
80,drug_7378,drug,True,75.7576,87.9158,94.4945
81,drug_2942,drug,True,87.2727,97.1625,94.2283
82,drug_6777,drug,True,37.2093,72.795,76.5161
83,drug_2648,drug,True,52.6316,62.4367,84.4579
84,drug_7030,drug,True,23.3333,36.9477,73.2703
85,drug_7850,drug,True,32.7273,48.3932,75.1473
86,drug_8819,drug,True,100.0,99.9852,100.0
87,drug_1410,drug,True,15.3846,8.1967,76.567
88,drug_6529,drug,True,32.7869,62.3931,80.3835
89,drug_3330,drug,True,7.6923,2.5773,60.632
90,drug_7958,drug,True,34.0426,45.1522,82.7061
91,drug_7759,drug,True,26.0,42.3099,76.102
92,drug_9139,drug,True,100.0,99.9972,100.0
93,drug_7364,drug,False,10.7143,7.2115,60.9357
94,drug_4617,drug,False,29.4118,27.5309,75.1794
95,drug_2329,drug,True,48.8889,56.8018,81.8159
96,drug_667,drug,True,100.0,99.9964,100.0
97,drug_2616,drug,True,53.8462,65.0615,84.4737
98,drug_1114,drug,True,79.4872,85.474,95.1205
99,drug_1911,drug,True,70.2703,71.4506,89.5025
100,drug_6853,drug,True,31.1475,55.5644,75.7441
101,drug_5649,drug,True,22.2222,32.069,73.1796
102,drug_8079,drug,True,9.5238,3.3557,68.8038
103,drug_4042,drug,True,50.0,42.92,79.3428
104,drug_1576,drug,False,9.0909,14.7059,70.7362
105,drug_3047,drug,True,95.4545,92.0655,97.098
106,drug_6097,drug,False,16.2162,7.0423,70.1605
107,drug_8986,drug,True,100.0,99.9975,100.0
108,drug_1281,drug,True,100.0,99.9975,100.0
109,drug_6495,drug,False,43.4783,65.461,80.3495
110,drug_1800,drug,True,44.4444,63.4138,84.3132
111,drug_2941,drug,True,66.6667,61.0828,83.7534
112,drug_3557,drug,False,75.8621,87.6663,91.0987
113,drug_2903,drug,True,8.6957,16.129,68.1713
114,drug_3525,drug,False,17.6471,15.0327,68.6406
115,drug_6030,drug,True,78.2609,90.5783,88.4603
116,drug_5992,drug,True,88.6598,89.3819,96.7469
117,drug_6147,drug,True,42.8571,28.8671,70.3646
118,drug_61,drug,False,9.5238,3.3557,66.6298
119,drug_7530,drug,True,73.3333,77.232,95.5091
120,drug_6502,drug,False,12.1212,26.2353,67.4395
121,drug_4516,drug,True,75.0,62.4571,92.1374
122,drug_970,drug,False,10.5263,9.0361,70.6683
123,drug_5084,drug,True,72.0,79.209,93.3401
124,drug_2632,drug,True,44.4444,38.2653,81.9792
125,drug_4571,drug,True,60.0,86.6013,84.1375
126,drug_3122,drug,True,14.2857,4.717,66.5212
127,drug_7554,drug,True,26.087,60.757,75.8889
128,drug_5375,drug,False,11.5385,20.7648,68.0332
129,drug_5010,drug,True,52.6316,81.6393,86.113
130,drug_3954,drug,True,47.2222,55.6001,82.2991
131,drug_5516,drug,False,34.4262,48.5617,77.2807
132,drug_6768,drug,True,62.963,77.8315,85.982
133,drug_4982,drug,False,9.5238,6.5274,64.3707
134,drug_4892,drug,False,13.6364,5.4012,69.8537
135,drug_8674,drug,True,50.0,35.4353,86.1117
136,drug_6635,drug,True,15.7895,11.3682,71.1026
137,drug_8060,drug,True,81.8182,71.3796,83.4311
138,drug_7723,drug,True,18.1818,21.0279,72.0102
139,drug_8113,drug,False,11.9403,31.4279,71.1431
140,drug_7537,drug,True,13.7255,21.0668,69.0618
141,drug_9154,drug,True,57.5758,86.7493,87.5284
142,drug_3475,drug,True,81.0811,70.4121,86.7179
143,drug_2440,drug,False,5.4054,2.6455,67.8148
144,drug_2250,drug,True,70.3704,56.3679,90.4177
145,drug_7927,drug,True,86.9565,88.8739,93.3509
146,drug_1955,drug,True,50.0,39.4508,85.2785
147,drug_4393,drug,True,86.8421,81.3848,95.0439
148,drug_8285,drug,True,70.5882,74.2952,85.5875
149,drug_5096,drug,True,80.7018,78.6117,90.1412
150,drug_1824,drug,True,64.5161,86.9511,84.0721
151,drug_718,drug,True,61.5385,87.0235,90.2438
152,drug_7604,drug,True,33.3333,39.8317,75.0621
153,drug_9419,drug,True,58.3333,62.3553,88.0227
154,drug_3308,drug,True,46.1538,31.6607,66.8057
155,drug_2430,drug,True,100.0,99.9624,100.0
156,drug_2290,drug,True,11.4286,8.7719,69.7475
157,drug_8462,drug,False,16.3522,41.6227,68.6555
158,drug_204,drug,True,71.4286,75.4986,92.0126
159,drug_6712,drug,True,63.1579,78.8595,81.0363
160,drug_8836,drug,False,13.3333,13.4783,71.319
161,drug_3584,drug,True,41.1765,50.7273,78.5984
162,drug_4371,drug,False,8.3333,2.8409,65.9611
163,drug_3949,drug,True,9.0909,3.1646,65.9431
164,drug_8837,drug,False,16.6667,14.4231,72.4733
165,drug_634,drug,True,77.551,90.7505,94.4628
166,drug_183,drug,False,18.1818,11.6279,68.3963
167,drug_5091,drug,True,32.0988,64.5162,83.6921
168,drug_5933,drug,True,36.3636,43.377,78.0167
169,drug_2785,drug,True,46.5753,44.8019,83.1242
170,drug_3807,drug,False,3.2787,0.9823,57.277
171,drug_5003,drug,True,18.6047,26.8065,70.6582
172,drug_3931,drug,True,92.0,89.0484,96.7815
173,drug_4660,drug,False,8.0,8.7719,66.2706
174,drug_2800,drug,True,22.7273,21.7545,73.6198
175,drug_4347,drug,True,91.6667,88.5972,96.5397
176,drug_891,drug,True,30.7692,18.5644,76.4172
177,drug_1649,drug,True,68.75,56.9554,87.4381
178,drug_6038,drug,False,12.1212,8.8757,69.5474
179,drug_3961,drug,False,18.1818,13.2743,69.1203
180,drug_842,drug,True,69.0909,82.0892,89.659
181,drug_1081,drug,True,68.9655,56.8182,89.2146
182,drug_2258,drug,True,100.0,99.9852,100.0
183,drug_9221,drug,False,11.2676,11.9614,64.8539
184,drug_6770,drug,True,31.068,64.1426,78.3657
185,drug_4154,drug,True,96.9697,99.2818,96.7462
186,drug_9747,drug,False,8.6957,16.2774,72.5658
187,drug_7261,drug,False,17.5824,33.7018,71.7478
188,drug_2450,drug,False,10.5263,3.8168,67.7937
189,drug_2966,drug,True,18.75,35.7781,70.935
190,drug_6333,drug,True,7.6923,2.5773,64.299
191,drug_7899,drug,True,57.1429,59.4945,82.7547
192,drug_3876,drug,True,4.878,5.618,63.5877
193,drug_2489,drug,True,50.0,69.1667,79.586
194,drug_314,drug,True,60.0,79.2862,89.159
195,drug_2412,drug,True,82.5,89.518,87.7443
196,drug_1202,drug,True,76.4706,66.8883,92.9184
197,drug_2499,drug,True,100.0,99.9914,100.0
198,drug_9758,drug,False,40.0,35.7253,81.7533
199,drug_7766,drug,False,27.3973,44.1597,73.7693
200,drug_5646,drug,True,100.0,99.9914,100.0
201,drug_485,drug,False,15.1515,20.3042,66.1433
202,drug_7305,drug,True,72.7273,81.8742,89.6689
203,drug_8386,drug,True,33.3333,42.087,82.814
204,drug_3044,drug,False,8.6957,3.3113,72.1081
205,drug_3632,drug,True,21.0526,6.4516,69.3464
206,drug_4107,drug,True,73.6842,71.3439,89.1555
207,drug_7819,drug,True,80.0,68.8059,84.2144
208,drug_7565,drug,True,90.0,97.5996,96.3417
209,drug_128,drug,True,94.3396,92.8565,98.4992
210,drug_2706,drug,True,100.0,99.9772,100.0
211,drug_262,drug,True,60.0,77.3196,82.784
212,drug_1058,drug,True,5.5556,4.3103,62.128
213,drug_9744,drug,True,72.0,85.5559,85.9622
214,drug_4172,drug,True,61.0169,85.1106,87.1557
215,drug_5000,drug,True,54.0541,82.735,83.8571
216,drug_7338,drug,True,62.2222,50.2874,86.8625
217,drug_1674,drug,True,68.6567,84.9281,88.6479
218,drug_4367,drug,True,58.1081,77.569,82.5886
219,drug_2545,drug,False,34.375,31.2016,82.3445
220,drug_9576,drug,False,8.6957,9.0361,67.7732
221,drug_9682,drug,True,59.6154,84.1486,86.3787
222,drug_9158,drug,False,37.5,44.8148,79.4774
223,drug_1629,drug,True,47.191,82.5316,81.0366
224,drug_528,drug,False,9.0909,10.0518,66.3681
225,drug_4235,drug,True,57.1429,38.1709,89.8474
226,drug_1394,drug,True,47.5248,57.9644,80.9706
227,drug_2335,drug,True,69.0909,73.5294,89.8378
228,drug_1292,drug,True,94.8454,97.2381,93.9928
229,drug_2686,drug,True,29.3333,27.3245,78.3922
230,drug_4517,drug,True,88.8889,88.1944,96.3454
231,drug_817,drug,True,72.0,73.972,93.3175
232,drug_589,drug,True,33.3333,50.986,80.4221
233,drug_9170,drug,False,11.1111,4.0984,70.7429
234,drug_5022,drug,True,64.0777,84.2307,86.1397
235,drug_6792,drug,True,33.6842,64.6035,76.2029
236,drug_9595,drug,True,11.7647,4.4248,67.8434
237,drug_8747,drug,True,66.6667,58.5242,86.2108
238,drug_1447,drug,True,78.9474,67.5576,82.2743
239,drug_1805,drug,True,76.9231,80.4493,85.2668
240,drug_1041,drug,True,100.0,99.9772,100.0
241,drug_7280,drug,False,4.3956,1.4144,60.6701
242,drug_9080,drug,True,100.0,99.9977,100.0
243,drug_7440,drug,True,11.3208,6.006,75.0311
244,drug_1661,drug,True,86.9565,96.699,86.6294
245,drug_2923,drug,True,100.0,99.9987,100.0
246,drug_5626,drug,True,56.6038,85.822,82.1753
247,drug_9752,drug,True,78.6517,66.9098,94.3638
248,drug_8155,drug,True,29.0323,37.2168,78.8314
249,drug_749,drug,True,6.25,2.0161,62.6032
250,drug_5542,drug,False,3.7037,1.1211,64.429
251,drug_1902,drug,False,2.3256,0.6812,57.1313
252,drug_4912,drug,True,79.2453,82.9681,93.4235
253,drug_1740,drug,True,47.0588,56.4346,79.8825
254,drug_2607,drug,True,54.3689,83.1669,85.3848
255,drug_7784,drug,False,71.7949,64.3569,88.7527
256,drug_6193,drug,True,71.1111,84.0434,91.4658
257,drug_9728,drug,True,49.6,73.0891,82.0707
258,drug_442,drug,True,48.0,33.2706,77.718
259,drug_2236,drug,True,48.3871,67.4875,79.8968
260,drug_9723,drug,True,100.0,99.9953,100.0
261,drug_3390,drug,True,44.898,79.4305,87.8487
262,drug_7441,drug,True,20.0,43.2065,77.0271
263,drug_7342,drug,True,85.1064,80.3391,97.0923
264,drug_1900,drug,True,55.814,47.98,86.117
265,drug_7858,drug,True,84.375,91.1537,91.5991
266,drug_7523,drug,True,95.6522,96.7166,98.9149
267,drug_3414,drug,True,72.5806,88.2624,84.4579
268,drug_403,drug,False,30.0,25.3831,76.1504
269,drug_2525,drug,True,90.0,97.2893,93.7402
270,drug_3114,drug,True,43.1535,57.3651,82.9249
271,drug_3454,drug,True,82.6087,72.5138,89.8428
272,drug_4022,drug,True,75.0,62.0117,92.6571
273,drug_6943,drug,True,71.1111,83.3643,89.082
274,drug_6798,drug,True,7.1429,2.3585,60.6317
275,drug_6996,drug,True,62.069,73.972,86.1489
276,drug_7883,drug,True,46.1538,31.6607,79.9993
277,drug_2577,drug,True,100.0,99.999,100.0
278,drug_27,drug,False,3.7037,1.1211,60.3302
279,drug_2929,drug,False,19.3548,6.2762,70.9339
280,drug_8151,drug,True,73.2143,89.6885,86.309
281,drug_1950,drug,True,49.4624,59.3391,83.7708
282,drug_5407,drug,True,54.5455,41.1915,87.1249
283,drug_515,drug,False,23.7288,33.8609,78.6943
284,drug_8083,drug,True,41.6667,27.5,75.4511
285,drug_327,drug,True,38.7097,63.2742,80.2911
286,drug_1591,drug,False,16.092,51.368,74.6462
287,drug_79,drug,True,10.3448,6.4103,65.6787
288,drug_6902,drug,True,93.3333,93.1973,99.1133
289,drug_2168,drug,True,9.0909,3.1646,64.9029
290,drug_5538,drug,True,92.5926,92.5126,98.3105
291,drug_8125,drug,True,75.8621,93.9818,90.3268
292,drug_973,drug,True,12.1212,5.9172,71.9627
293,drug_7538,drug,True,35.2941,22.8252,67.736
294,drug_5998,drug,False,12.2449,16.5289,71.9047
295,drug_2698,drug,True,50.9091,63.2179,85.8931
