question_id,row_index,sample_id,topic,question,query_profile,selected_alpha,gold_context_hash,chunk_size,chunk_overlap,gold_rank,hit_at_1,hit_at_3,hit_at_5,rr_at_5,latency_seconds,retrieved_context_hashes
Q0001,0,drug_7107,drug,Có bắt buộc phải sử dụng thuốc Carbogast trong khi mang thai và cho con bú không?,noisy_conversational,0.3,7edcb39a58f4d1d4b346,1000,200,1,1,1,1,1.0,0.06000589999894146,7edcb39a58f4d1d4b346|8bf8aeb5d1ac3dbf1cf3|71b7de5c1a5aec550a57|3a5925ba89518c16d876|3fdbb4e7a7b7913fdef6
Q0002,1,drug_401,drug,"Ngoài giảm đau, Acepron 250 mg còn có thêm tác dụng nào khác?",quantitative,0.4,752c8849e914e0465afe,1000,200,1,1,1,1,1.0,0.06352999999944586,752c8849e914e0465afe|c3fe73a29ad4c092de09|30f32e58eb882974d824|b4012293714828a88942|5fd1ab049bb93d544a29
Q0003,2,drug_6736,drug,Có thể tự ý sử dụng Calci D Hasan khi đang mang thai và cho con bú không?,noisy_conversational,0.3,aa977615f726388ef325,1000,200,0,0,0,0,0.0,0.06847740000011981,d46340b759e533304370|8bf8aeb5d1ac3dbf1cf3|3a5925ba89518c16d876|0aa6fcf9c3897183d05e|3fdbb4e7a7b7913fdef6
Q0004,3,drug_8880,drug,Uống thuốc Comiaryl đúng cách như thế nào?,semantic,0.3,b82de553909b835a3dd0,1000,200,2,0,1,1,0.5,0.06042470000102185,855c66eb618e7ea7c3f0|b82de553909b835a3dd0|397b7952a6ea9f8ccdb6|3742d850eeeebb4331e9|5a8c163fdcbc3bb83d2e
Q0005,4,drug_6738,drug,Calci D Hasan có thể gây ảnh hưởng gì đến bệnh nhân mắc bệnh lý nền?,semantic,0.3,c32e67d9bca34e8ab507,1000,200,0,0,0,0,0.0,0.06902179999815417,059bb8db107115350ecc|af22b1a57f91a53c1186|1fcaaa9bdf4a11df0871|b42c4a91f93ad99c2c5d|b80fabed1a5d9e6ec2ae
Q0006,5,drug_6644,drug,Những điều kiện cần tránh khi bảo quản sản phẩm Bổ thần kinh H5000 là gì?,semantic,0.3,e4e30a3190d4f9cd5810,1000,200,1,1,1,1,1.0,0.06873199999972712,e4e30a3190d4f9cd5810|b4012293714828a88942|496d503052765057e7f4|ac69b622243c95396440|9d2336711ba7f8c01fce
Q0007,6,drug_5860,drug,Ở đâu là nơi thích hợp để Biosubtyl tránh xa tầm tay trẻ em và vật nuôi?,semantic,0.3,5772e92451e7c9a2b9b2,1000,200,1,1,1,1,1.0,0.07433189999937895,5772e92451e7c9a2b9b2|8b9df45d5dab28759af6|223bef18db8c88fad0c5|0c0d03ce904d8ea21b09|855250f62a81924c03e3
Q0008,7,drug_8040,drug,"Trong trường hợp đau nhiều, liều dùng Cholapan sẽ thay đổi như thế nào?",quantitative,0.4,aeded648cd7695ba6730,1000,200,1,1,1,1,1.0,0.0686297000029299,aeded648cd7695ba6730|47eee7fa9de46ea3ced6|76b79c98b06ead00a970|19edc6b170d7201f60f0|9af53de377fa46036e36
Q0009,8,drug_8382,drug,Tác dụng của thuốc cisapride trên trẻ em như thế nào?,semantic,0.3,e4e910d6eba195fbfe47,1000,200,0,0,0,0,0.0,0.05996500000037486,583bffbcd3ac2ca4476b|1b01ce6cbf5af941be6e|5a8c163fdcbc3bb83d2e|d1c845ad896231b78323|56820addd34973cef470
Q0010,9,drug_5947,drug,Bôi thuốc Bisilkon bao nhiêu lần/ngày?,quantitative,0.4,ad6a65eff01aeefd1acf,1000,200,2,0,1,1,0.5,0.058784600001672516,8f25bb9bfd451984a07a|ad6a65eff01aeefd1acf|5cd728935ffaf095c7dd|68afe4f1d7f255804899|aeded648cd7695ba6730
Q0011,10,drug_3834,drug,Tỉ lệ liều dùng thuốc Atorpa-E đối với bệnh nhân tăng cholesterol máu và/hoặc bệnh nhân có bệnh mạch vành là bao nhiêu?,quantitative,0.4,3cc2503e844e776b9dd8,1000,200,1,1,1,1,1.0,0.08236170000236598,3cc2503e844e776b9dd8|b8b0b2838a223414c0e8|656f05f07660b7ee6123|16db1e83c3ec38810c42|45c58c53cb6c9eaec69c
