scenario_id,scenario_title,source_note,method,memory_mode,question,raw_history_messages,processed_history_messages,raw_history_chars,processed_history_chars,history_reduction_percent,api_calls_logged,summary_tokens,rewrite_tokens,api_tokens_logged_total,api_tokens_logged_each,elapsed_s,rewritten_question,intent,context_ok,matched_keywords,missing_keyword_groups,error
vitamin_d,Nguồn bổ sung vitamin D cho trẻ 6 tháng bú mẹ,KB1 câu 398--400.,no_memory,none,Loại vitamin đó còn có thể được bổ sung từ những nguồn nào?,10,0,930,0,100.0,1,0,887,887,887,0.95,Vitamin D cho trẻ 6 tháng tuổi có thể được bổ sung từ những nguồn nào?,OUT_OF_SCOPE,True,vitamin d | 6 tháng | bổ sung từ,,
vitamin_d,Nguồn bổ sung vitamin D cho trẻ 6 tháng bú mẹ,KB1 câu 398--400.,fixed_window,last_6_messages,Loại vitamin đó còn có thể được bổ sung từ những nguồn nào?,10,6,930,556,40.22,1,0,1068,1068,1068,0.395,Vitamin D cho trẻ 6 tháng tuổi có thể được bổ sung từ những nguồn nào?,RAG,True,vitamin d | 6 tháng | bổ sung từ,,
vitamin_d,Nguồn bổ sung vitamin D cho trẻ 6 tháng bú mẹ,KB1 câu 398--400.,full_history,full,Loại vitamin đó còn có thể được bổ sung từ những nguồn nào?,10,10,930,930,0.0,1,0,1184,1184,1184,0.438,Vitamin D cho trẻ 6 tháng tuổi có thể được bổ sung từ những nguồn nào?,RAG,True,vitamin d | 6 tháng | bổ sung từ,,
vitamin_d,Nguồn bổ sung vitamin D cho trẻ 6 tháng bú mẹ,KB1 câu 398--400.,summary_only,summary_only,Loại vitamin đó còn có thể được bổ sung từ những nguồn nào?,10,1,930,248,73.33,2,605,975,1580,605 | 975,0.982,"Vitamin D cho trẻ 6 tháng tuổi có thể được bổ sung từ những nguồn nào, bao gồm thực phẩm bổ sung, sữa bổ sung hoặc các loại thực phẩm giàu vitamin D như cá, trứng, sữa?",RAG,True,vitamin d | 6 tháng | bổ sung từ,,
vitamin_d,Nguồn bổ sung vitamin D cho trẻ 6 tháng bú mẹ,KB1 câu 398--400.,acm,light_summary,Loại vitamin đó còn có thể được bổ sung từ những nguồn nào?,10,10,930,930,0.0,1,0,1184,1184,1184,0.42,Vitamin D cho trẻ 6 tháng tuổi có thể được bổ sung từ những nguồn nào?,RAG,True,vitamin d | 6 tháng | bổ sung từ,,
oral_care,Dụng cụ vệ sinh miệng cho trẻ 6 tháng chưa mọc răng,KB1 câu 196 và 198.,no_memory,none,Còn khi bé chưa mọc răng thì nên dùng dụng cụ gì để vệ sinh?,10,0,856,0,100.0,1,0,890,890,890,0.419,Dụng cụ vệ sinh nào nên sử dụng cho trẻ chưa mọc răng?,RAG,False,dụng cụ,(vệ sinh răng miệng OR vệ sinh miệng OR làm sạch lợi OR chăm sóc vùng miệng) | (6 tháng OR trẻ 6 tháng),
oral_care,Dụng cụ vệ sinh miệng cho trẻ 6 tháng chưa mọc răng,KB1 câu 196 và 198.,fixed_window,last_6_messages,Còn khi bé chưa mọc răng thì nên dùng dụng cụ gì để vệ sinh?,10,6,856,548,35.98,1,0,1070,1070,1070,0.566,Dụng cụ vệ sinh cho trẻ chưa mọc răng là gì?,RAG,False,dụng cụ,(vệ sinh răng miệng OR vệ sinh miệng OR làm sạch lợi OR chăm sóc vùng miệng) | (6 tháng OR trẻ 6 tháng),
oral_care,Dụng cụ vệ sinh miệng cho trẻ 6 tháng chưa mọc răng,KB1 câu 196 và 198.,full_history,full,Còn khi bé chưa mọc răng thì nên dùng dụng cụ gì để vệ sinh?,10,10,856,856,0.0,1,0,1172,1172,1172,0.509,Dụng cụ vệ sinh răng miệng cho trẻ 6 tháng tuổi chưa mọc răng là gì?,RAG,True,vệ sinh răng miệng | 6 tháng | dụng cụ,,
oral_care,Dụng cụ vệ sinh miệng cho trẻ 6 tháng chưa mọc răng,KB1 câu 196 và 198.,summary_only,summary_only,Còn khi bé chưa mọc răng thì nên dùng dụng cụ gì để vệ sinh?,10,1,856,320,62.62,2,581,1001,1582,581 | 1001,1.166,Dụng cụ vệ sinh răng miệng cho trẻ 6 tháng tuổi chưa mọc răng là gì?,RAG,True,vệ sinh răng miệng | 6 tháng | dụng cụ,,
oral_care,Dụng cụ vệ sinh miệng cho trẻ 6 tháng chưa mọc răng,KB1 câu 196 và 198.,acm,light_summary,Còn khi bé chưa mọc răng thì nên dùng dụng cụ gì để vệ sinh?,10,10,856,856,0.0,1,0,1172,1172,1172,0.417,Dụng cụ vệ sinh răng miệng cho trẻ 6 tháng tuổi chưa mọc răng là gì?,RAG,True,vệ sinh răng miệng | 6 tháng | dụng cụ,,
