scenario_id,scenario_title,source_note,method,memory_mode,question,raw_history_messages,processed_history_messages,raw_history_chars,processed_history_chars,history_reduction_percent,api_calls_logged,summary_tokens,rewrite_tokens,api_tokens_logged_total,api_tokens_logged_each,elapsed_s,rewritten_question,intent,rewrite_content_ok,context_ok,matched_keywords,missing_keyword_groups,error
vitamin_d,Vitamin D ở trẻ bú mẹ trong 6 tháng đầu,KB1 câu 398–400.,no_memory,none,Loại vitamin đó còn có thể được bổ sung từ những nguồn nào?,10,0,1515,0,100.0,1,0,887,887,887,1.082,Vitamin D cho trẻ 6 tháng tuổi có thể được bổ sung từ những nguồn nào?,OUT_OF_SCOPE,True,False,vitamin d | 6 tháng | bổ sung từ,,
vitamin_d,Vitamin D ở trẻ bú mẹ trong 6 tháng đầu,KB1 câu 398–400.,fixed_window,last_6_messages,Loại vitamin đó còn có thể được bổ sung từ những nguồn nào?,10,6,1515,1109,26.8,1,0,1211,1211,1211,0.406,Vitamin D cho trẻ 6 tháng tuổi có thể được bổ sung từ những nguồn nào?,RAG,True,True,vitamin d | 6 tháng | bổ sung từ,,
vitamin_d,Vitamin D ở trẻ bú mẹ trong 6 tháng đầu,KB1 câu 398–400.,full_history,full,Loại vitamin đó còn có thể được bổ sung từ những nguồn nào?,10,10,1515,1515,0.0,1,0,1335,1335,1335,0.548,Vitamin D cho trẻ 6 tháng tuổi bú mẹ có thể được bổ sung từ những nguồn nào?,RAG,True,True,vitamin d | 6 tháng | bổ sung từ,,
vitamin_d,Vitamin D ở trẻ bú mẹ trong 6 tháng đầu,KB1 câu 398–400.,summary_only,summary_only,Loại vitamin đó còn có thể được bổ sung từ những nguồn nào?,10,1,1515,346,77.16,2,756,1001,1757,756 | 1001,0.957,"Vitamin D cho trẻ 6 tháng tuổi có thể được bổ sung từ những nguồn nào, bao gồm thực phẩm bổ sung, sữa bổ sung hoặc các nguồn tự nhiên như cá, trứng và sữa?",RAG,True,True,vitamin d | 6 tháng | bổ sung từ,,
vitamin_d,Vitamin D ở trẻ bú mẹ trong 6 tháng đầu,KB1 câu 398–400.,acm,rolling_summary_update,Loại vitamin đó còn có thể được bổ sung từ những nguồn nào?,10,3,1515,488,67.79,4,1537,1042,2579,403 | 565 | 569 | 1042,1.818,Vitamin D cho trẻ 6 tháng tuổi có thể được bổ sung từ những nguồn nào?,RAG,True,True,vitamin d | 6 tháng | bổ sung từ,,
oral_care,Vệ sinh răng miệng khi trẻ bắt đầu mọc răng,KB1 câu 196 và 198.,no_memory,none,Còn khi bé chưa mọc răng thì nên dùng dụng cụ gì để vệ sinh?,10,0,1445,0,100.0,1,0,890,890,890,0.413,Dụng cụ vệ sinh nào nên sử dụng cho trẻ chưa mọc răng?,RAG,False,False,dụng cụ vệ sinh | dụng cụ,(6 tháng OR trẻ 6 tháng),
oral_care,Vệ sinh răng miệng khi trẻ bắt đầu mọc răng,KB1 câu 196 và 198.,fixed_window,last_6_messages,Còn khi bé chưa mọc răng thì nên dùng dụng cụ gì để vệ sinh?,10,6,1445,1063,26.44,1,0,1205,1205,1205,0.474,Dụng cụ vệ sinh cho trẻ chưa mọc răng nên được chọn lựa phù hợp để tránh gây tổn thương cho nướu và lợi.,RAG,False,False,dụng cụ vệ sinh | dụng cụ,(6 tháng OR trẻ 6 tháng),
oral_care,Vệ sinh răng miệng khi trẻ bắt đầu mọc răng,KB1 câu 196 và 198.,full_history,full,Còn khi bé chưa mọc răng thì nên dùng dụng cụ gì để vệ sinh?,10,10,1445,1445,0.0,1,0,1325,1325,1325,0.439,Dụng cụ vệ sinh răng miệng cho trẻ 6 tháng tuổi chưa mọc răng là gì?,RAG,True,True,vệ sinh răng miệng | 6 tháng | dụng cụ,,
oral_care,Vệ sinh răng miệng khi trẻ bắt đầu mọc răng,KB1 câu 196 và 198.,summary_only,summary_only,Còn khi bé chưa mọc răng thì nên dùng dụng cụ gì để vệ sinh?,10,1,1445,305,78.89,2,734,995,1729,734 | 995,0.873,"Khi bé 6 tháng tuổi chưa mọc răng, nên dùng gạc mềm thấm nước sạch để vệ sinh răng miệng.",RAG,True,True,vệ sinh răng miệng | 6 tháng | gạc mềm,,
oral_care,Vệ sinh răng miệng khi trẻ bắt đầu mọc răng,KB1 câu 196 và 198.,acm,rolling_summary_update,Còn khi bé chưa mọc răng thì nên dùng dụng cụ gì để vệ sinh?,10,3,1445,479,66.85,4,1512,1042,2554,434 | 527 | 551 | 1042,1.956,Dụng cụ vệ sinh vùng miệng cho trẻ 6 tháng tuổi chưa mọc răng là gì?,RAG,True,True,dụng cụ vệ sinh | 6 tháng | dụng cụ,,
complementary_feeding,Độ đặc và lượng thức ăn khi trẻ bắt đầu ăn dặm,KB1 câu 19–20 và 289–292.,no_memory,none,Còn độ đặc và số lượng thì áp dụng nguyên tắc nào cho bé?,10,0,1463,0,100.0,1,0,888,888,888,0.397,Độ đặc và số lượng sữa cho trẻ sơ sinh cần được tuân thủ theo nguyên tắc nào để đảm bảo sự phát triển khỏe mạnh?,RAG,False,False,độ đặc,(ăn bổ sung OR ăn dặm) | (6 tháng OR trẻ 6 tháng),
complementary_feeding,Độ đặc và lượng thức ăn khi trẻ bắt đầu ăn dặm,KB1 câu 19–20 và 289–292.,fixed_window,last_6_messages,Còn độ đặc và số lượng thì áp dụng nguyên tắc nào cho bé?,10,6,1463,1064,27.27,1,0,1206,1206,1206,0.441,Nguyên tắc độ đặc và số lượng thức ăn cho trẻ 6 tháng tuổi là gì?,RAG,False,False,6 tháng | độ đặc,(ăn bổ sung OR ăn dặm),
complementary_feeding,Độ đặc và lượng thức ăn khi trẻ bắt đầu ăn dặm,KB1 câu 19–20 và 289–292.,full_history,full,Còn độ đặc và số lượng thì áp dụng nguyên tắc nào cho bé?,10,10,1463,1463,0.0,1,0,1336,1336,1336,0.505,"Nguyên tắc độ đặc và số lượng thức ăn cho trẻ 6 tháng tuổi khi bắt đầu ăn dặm là từ loãng đến đặc, từ ít đến nhiều.",RAG,True,True,ăn dặm | 6 tháng | độ đặc,,
complementary_feeding,Độ đặc và lượng thức ăn khi trẻ bắt đầu ăn dặm,KB1 câu 19–20 và 289–292.,summary_only,summary_only,Còn độ đặc và số lượng thì áp dụng nguyên tắc nào cho bé?,10,1,1463,456,68.83,2,754,1037,1791,754 | 1037,1.055,"Nguyên tắc độ đặc và số lượng sữa mẹ cho trẻ 6 tháng tuổi khi bắt đầu ăn dặm và ăn bổ sung là từ loãng đến đặc, từ ít đến nhiều.",RAG,True,True,ăn bổ sung | 6 tháng | độ đặc,,
complementary_feeding,Độ đặc và lượng thức ăn khi trẻ bắt đầu ăn dặm,KB1 câu 19–20 và 289–292.,acm,rolling_summary_update,Còn độ đặc và số lượng thì áp dụng nguyên tắc nào cho bé?,10,3,1463,519,64.52,4,1526,1059,2585,451 | 521 | 554 | 1059,2.026,Nguyên tắc độ đặc và số lượng thức ăn cho trẻ 6 tháng tuổi khi bắt đầu ăn dặm là gì?,RAG,True,True,ăn dặm | 6 tháng | độ đặc,,
