config,question_idx,question,tokens,prompt_tokens,completion_tokens,latency_ms,faithfulness
A,0,"Bé nhà em hay hỏi ""Tại sao?"" liên tục, đôi khi em thấy rất mệt mỏi, em có nên trả lời hết các câu hỏi đó không?",2786,2233,553,13666.42890003277,0.8
B,0,"Bé nhà em hay hỏi ""Tại sao?"" liên tục, đôi khi em thấy rất mệt mỏi, em có nên trả lời hết các câu hỏi đó không?",1348,877,471,2226.357300009113,0.95
C,0,"Bé nhà em hay hỏi ""Tại sao?"" liên tục, đôi khi em thấy rất mệt mỏi, em có nên trả lời hết các câu hỏi đó không?",912,671,241,978.8141999742948,0.95
D,0,"Bé nhà em hay hỏi ""Tại sao?"" liên tục, đôi khi em thấy rất mệt mỏi, em có nên trả lời hết các câu hỏi đó không?",1050,798,252,1593.2745999889448,0.95
A,1,"Em lo ngại các hóa chất trong tã giấy, có loại tã nào không chứa gel siêu thấm hay chất tẩy trắng clo để an toàn hơn cho da bé không ạ?",3523,3209,314,1903.4428999875672,0.85
B,1,"Em lo ngại các hóa chất trong tã giấy, có loại tã nào không chứa gel siêu thấm hay chất tẩy trắng clo để an toàn hơn cho da bé không ạ?",1195,845,350,5720.1011999859475,0.95
C,1,"Em lo ngại các hóa chất trong tã giấy, có loại tã nào không chứa gel siêu thấm hay chất tẩy trắng clo để an toàn hơn cho da bé không ạ?",3502,3230,272,25682.61119996896,0.8
D,1,"Em lo ngại các hóa chất trong tã giấy, có loại tã nào không chứa gel siêu thấm hay chất tẩy trắng clo để an toàn hơn cho da bé không ạ?",3931,3561,370,32546.836500056088,0.85
A,2,Sữa mẹ chứa bao nhiêu phần trăm là nước?,2755,2388,367,5186.111800023355,0.85
B,2,Sữa mẹ chứa bao nhiêu phần trăm là nước?,767,516,251,1419.440100027714,0.85
C,2,Sữa mẹ chứa bao nhiêu phần trăm là nước?,2829,2786,43,888.4383999975398,0.8
D,2,Sữa mẹ chứa bao nhiêu phần trăm là nước?,1052,759,293,2085.5289999744855,0.85
A,3,"Làm sao để em giúp bé nhận biết và học tên các màu sắc, hình khối một cách tự nhiên nhất ạ?",2679,2081,598,3285.66980001051,0.65
B,3,"Làm sao để em giúp bé nhận biết và học tên các màu sắc, hình khối một cách tự nhiên nhất ạ?",1317,654,663,2333.7535000173375,0.8
C,3,"Làm sao để em giúp bé nhận biết và học tên các màu sắc, hình khối một cách tự nhiên nhất ạ?",4274,3833,441,1536.323899985291,0.8
D,3,"Làm sao để em giúp bé nhận biết và học tên các màu sắc, hình khối một cách tự nhiên nhất ạ?",1116,782,334,1692.765399988275,0.8
A,4,Sữa non của em màu vàng và đặc thì có tốt cho bé không ạ?,2986,2642,344,14601.369699987117,0.2
B,4,Sữa non của em màu vàng và đặc thì có tốt cho bé không ạ?,1004,726,278,1467.583499965258,0.2
C,4,Sữa non của em màu vàng và đặc thì có tốt cho bé không ạ?,4555,4358,197,34627.50750000123,0.85
D,4,Sữa non của em màu vàng và đặc thì có tốt cho bé không ạ?,1012,776,236,1539.8308000294492,0.2
A,5,"Em mới sinh bé xong, trong mấy tiếng đầu bác sĩ sẽ theo dõi em thế nào?",2655,2438,217,1857.9586000414565,0.2
B,5,"Em mới sinh bé xong, trong mấy tiếng đầu bác sĩ sẽ theo dõi em thế nào?",1110,627,483,1805.215500004124,0.2
C,5,"Em mới sinh bé xong, trong mấy tiếng đầu bác sĩ sẽ theo dõi em thế nào?",2920,2540,380,1555.6475999765098,0.2
D,5,"Em mới sinh bé xong, trong mấy tiếng đầu bác sĩ sẽ theo dõi em thế nào?",3672,3255,417,17672.25350002991,0.2
A,6,"Em có cần phải đánh giá lại sự phát triển của bé thường xuyên không, hay chỉ cần thực hiện một lần khi bé có dấu hiệu lạ ạ?",3034,2739,295,1605.7042000466026,0.85
B,6,"Em có cần phải đánh giá lại sự phát triển của bé thường xuyên không, hay chỉ cần thực hiện một lần khi bé có dấu hiệu lạ ạ?",1596,885,711,1966.4761999738403,0.95
C,6,"Em có cần phải đánh giá lại sự phát triển của bé thường xuyên không, hay chỉ cần thực hiện một lần khi bé có dấu hiệu lạ ạ?",3262,2890,372,18793.72900002636,0.95
D,6,"Em có cần phải đánh giá lại sự phát triển của bé thường xuyên không, hay chỉ cần thực hiện một lần khi bé có dấu hiệu lạ ạ?",3326,2640,686,4476.772499969229,0.95
A,7,"Em bị đau núm vú quá, có cách nào để bớt đau khi cho con bú không?",2564,2230,334,1627.9072999604978,0.8
B,7,"Em bị đau núm vú quá, có cách nào để bớt đau khi cho con bú không?",1054,629,425,1609.607300022617,0.85
C,7,"Em bị đau núm vú quá, có cách nào để bớt đau khi cho con bú không?",2870,2452,418,1415.5828000511974,0.8
D,7,"Em bị đau núm vú quá, có cách nào để bớt đau khi cho con bú không?",2694,2145,549,9681.369199999608,0.2
A,8,"Em nghe nói sau sinh không nên ngồi xổm lâu hoặc rặn mạnh khi đi vệ sinh để tránh sa tử cung, có đúng không?",3147,2743,404,9240.57389999507,0.65
B,8,"Em nghe nói sau sinh không nên ngồi xổm lâu hoặc rặn mạnh khi đi vệ sinh để tránh sa tử cung, có đúng không?",1411,929,482,1788.6298999655992,0.2
C,8,"Em nghe nói sau sinh không nên ngồi xổm lâu hoặc rặn mạnh khi đi vệ sinh để tránh sa tử cung, có đúng không?",2601,2137,464,72522.99040002981,0.85
D,8,"Em nghe nói sau sinh không nên ngồi xổm lâu hoặc rặn mạnh khi đi vệ sinh để tránh sa tử cung, có đúng không?",2845,2506,339,2083.5431999876164,0.85
A,9,Em nghe nói gây tê ngoài màng cứng cũng làm mình bị bí tiểu lâu hơn phải không ạ?,2275,1979,296,1655.8153000078164,0.0
B,9,Em nghe nói gây tê ngoài màng cứng cũng làm mình bị bí tiểu lâu hơn phải không ạ?,779,556,223,1477.0114999846555,0.0
C,9,Em nghe nói gây tê ngoài màng cứng cũng làm mình bị bí tiểu lâu hơn phải không ạ?,2984,2538,446,1590.2320999884978,0.2
D,9,Em nghe nói gây tê ngoài màng cứng cũng làm mình bị bí tiểu lâu hơn phải không ạ?,3107,2692,415,2014.270099985879,0.8
A,10,Cách xử trí tại nhà khi trẻ sơ sinh bị sốt cao?,2917,2359,558,2085.9137999941595,0.2
B,10,Cách xử trí tại nhà khi trẻ sơ sinh bị sốt cao?,977,610,367,2040.9287000074983,0.0
C,10,Cách xử trí tại nhà khi trẻ sơ sinh bị sốt cao?,3213,2844,369,8657.11349999765,0.85
D,10,Cách xử trí tại nhà khi trẻ sơ sinh bị sốt cao?,3422,2840,582,2420.083099976182,0.2
A,11,Bệnh thủy đậu ở trẻ nhỏ là như thế nào?,2079,1723,356,1646.923099993728,0.05
B,11,Bệnh thủy đậu ở trẻ nhỏ là như thế nào?,608,526,82,1425.0002999906428,0.0
C,11,Bệnh thủy đậu ở trẻ nhỏ là như thế nào?,2590,2121,469,15159.873500000685,0.2
D,11,Bệnh thủy đậu ở trẻ nhỏ là như thế nào?,2419,2089,330,2126.5392000204884,0.0
A,12,Phụ nữ Châu Á mang thai nên tăng bao nhiêu kg là hợp lý?,3077,2697,380,14951.523100025952,0.95
B,12,Phụ nữ Châu Á mang thai nên tăng bao nhiêu kg là hợp lý?,825,549,276,4731.274800025858,0.95
C,12,Phụ nữ Châu Á mang thai nên tăng bao nhiêu kg là hợp lý?,2769,2704,65,1004.7940000076778,0.95
D,12,Phụ nữ Châu Á mang thai nên tăng bao nhiêu kg là hợp lý?,2984,2857,127,1870.2979000518098,0.95
A,13,Những thực phẩm nào mẹ mang thai nên dùng để cung cấp năng lượng?,2168,1719,449,9968.617800041102,0.2
B,13,Những thực phẩm nào mẹ mang thai nên dùng để cung cấp năng lượng?,1157,552,605,2931.1779999989085,0.05
C,13,Những thực phẩm nào mẹ mang thai nên dùng để cung cấp năng lượng?,4938,2847,2091,11308.791899995413,0.05
