question_id,kb,source_row,budget,question,reference_answer,expected_source,answer,valid_answer,retrieved_doc_count,generation_doc_count,context_estimated_tokens,context_chars,rouge_l_f1,latency_seconds,generation_sources,error
Q003,KB1,35,2200,Sữa mẹ chứa bao nhiêu phần trăm là nước?,Sữa mẹ chứa tới 88% là nước.,Tài liệu khóa học Nuôi con bằng sữa mẹ.pdf,Sữa mẹ chứa hơn 80% là nước.,1,5,5,2041,4689,0.7142857142857143,3.680731099999321,Bo_De_Me_Va_Be.xlsx | Bo_De_Me_Va_Be.xlsx | qa_me_bim_sau_sinh_100.xlsx | Bo_De_Me_Va_Be.xlsx | Tại sao chúng ta không cần cho trẻ sơ sinh dưới 6 tháng tuổi uống nước.docx,
Q003,KB1,35,3000,Sữa mẹ chứa bao nhiêu phần trăm là nước?,Sữa mẹ chứa tới 88% là nước.,Tài liệu khóa học Nuôi con bằng sữa mẹ.pdf,Sữa mẹ chứa hơn 80% là nước.,1,5,5,2041,4689,0.7142857142857143,0.9609930999995412,Bo_De_Me_Va_Be.xlsx | Bo_De_Me_Va_Be.xlsx | qa_me_bim_sau_sinh_100.xlsx | Bo_De_Me_Va_Be.xlsx | Tại sao chúng ta không cần cho trẻ sơ sinh dưới 6 tháng tuổi uống nước.docx,
Q004,KB1,212,1000,"Làm sao để em giúp bé nhận biết và học tên các màu sắc, hình khối một cách tự nhiên nhất ạ?","Bạn hãy lồng ghép vào các hoạt động hàng ngày như: ""Quả táo màu đỏ"", ""Cái hộp hình vuông"", việc học qua thực tế sẽ giúp trẻ ghi nhớ lâu hơn.",Sách Không ai hoàn hảo - Trí tuệ,"Để giúp bé nhận biết và học tên các màu sắc, hình khối tự nhiên nhất, bạn có thể thực hiện các hoạt động sau: - Bé lật người và bò xung quanh: Đây là một trong những cách giúp bé khám phá và nhận biết các màu sắc và hình khối xung quanh. - Bé tạo ra các tiếng động: Bé có thể tạo ra các tiếng động bằng cách đập, chọc chọc các vật thể khác nhau, giúp bé nhận biết và học tên các màu sắc và hình khối. - Bé cười khúc khích: Bé có thể cười khúc khích khi được tiếp xúc với các màu sắc và hình khối mới, giúp bé học hỏi và nhớ tên chúng. - Bé bập bẹ các từ: Bé có thể bập bẹ các từ liên quan đến màu sắc và hình khối, giúp bé học hỏi và nhớ tên chúng. MomCare chưa tìm thấy đủ thông tin trong kho tài liệu để trả lời câu hỏi này.",1,5,2,844,1937,0.0918367346938775,1.1778778999996575,data_store\pdf\Trí tuệ - Không ai hoàn hảo.pdf | data_store\pdf\Trí tuệ - Không ai hoàn hảo.pdf,
Q004,KB1,212,1500,"Làm sao để em giúp bé nhận biết và học tên các màu sắc, hình khối một cách tự nhiên nhất ạ?","Bạn hãy lồng ghép vào các hoạt động hàng ngày như: ""Quả táo màu đỏ"", ""Cái hộp hình vuông"", việc học qua thực tế sẽ giúp trẻ ghi nhớ lâu hơn.",Sách Không ai hoàn hảo - Trí tuệ,"Để giúp bé nhận biết và học tên các màu sắc, hình khối tự nhiên nhất, bạn có thể thực hiện các bước sau: - Bé di chuyển xung quanh và khám phá môi trường xung quanh để nhận biết và học tên các màu sắc. - Bé tạo ra các tiếng động và bập bẹ các từ để học cách sử dụng ngôn ngữ và nhận biết các màu sắc. - Bé bắt đầu hiểu những từ bé thường xuyên nghe thấy, bao gồm cả tên của các màu sắc. - Bé đang học cách sử dụng đôi tay của mình để nắm và để lắc, đập và chọc chọc các vật thể, giúp bé nhận biết và học tên các hình khối tự nhiên.",1,5,3,1312,3013,0.0784313725490196,1.2749079999994135,data_store\pdf\Trí tuệ - Không ai hoàn hảo.pdf | data_store\pdf\Trí tuệ - Không ai hoàn hảo.pdf | data_store\pdf\Hành vi - Không ai hoàn hảo.pdf,
Q004,KB1,212,2200,"Làm sao để em giúp bé nhận biết và học tên các màu sắc, hình khối một cách tự nhiên nhất ạ?","Bạn hãy lồng ghép vào các hoạt động hàng ngày như: ""Quả táo màu đỏ"", ""Cái hộp hình vuông"", việc học qua thực tế sẽ giúp trẻ ghi nhớ lâu hơn.",Sách Không ai hoàn hảo - Trí tuệ,"Để giúp bé nhận biết và học tên các màu sắc, hình khối tự nhiên nhất, bạn có thể thực hiện các bước sau: - Bé lật người và bò xung quanh để khám phá và nhận biết các màu sắc khác nhau. - Bé tạo ra các tiếng động để thể hiện sự quan tâm và khám phá về các hình khối tự nhiên. - Bé bắt đầu hiểu những từ bé thường xuyên nghe thấy, bao gồm cả tên của các màu sắc và hình khối. - Bé đang học cách sử dụng đôi tay của mình để khám phá và nhận biết các hình khối tự nhiên. MomCare chưa tìm thấy đủ thông tin trong kho tài liệu để trả lời câu hỏi này.",1,5,4,1879,4317,0.0779220779220779,1.3776868999993894,data_store\pdf\Trí tuệ - Không ai hoàn hảo.pdf | data_store\pdf\Trí tuệ - Không ai hoàn hảo.pdf | data_store\pdf\Hành vi - Không ai hoàn hảo.pdf | Bo_De_Me_Va_Be.xlsx,
Q004,KB1,212,3000,"Làm sao để em giúp bé nhận biết và học tên các màu sắc, hình khối một cách tự nhiên nhất ạ?","Bạn hãy lồng ghép vào các hoạt động hàng ngày như: ""Quả táo màu đỏ"", ""Cái hộp hình vuông"", việc học qua thực tế sẽ giúp trẻ ghi nhớ lâu hơn.",Sách Không ai hoàn hảo - Trí tuệ,"Để giúp bé nhận biết và học tên các màu sắc, hình khối tự nhiên nhất, bạn có thể thực hiện các bước sau: - Gọi tên các màu sắc khi chơi và khám phá cùng bé. - Sử dụng từ ngữ gọi tên các cảm giác như vui vẻ, buồn phiền, tức giận hay lo sợ. - Đọc cho bé nghe và xem các loại sách tranh, sau đó đặt câu hỏi để bé chỉ vào các thứ trong sách. - Hãy là một người biết lắng nghe và sử dụng từ ngữ gọi tên cảm xúc. MomCare chưa tìm thấy đủ thông tin trong kho tài liệu để trả lời câu hỏi này.",1,5,5,2241,5149,0.056338028169014,1.6605339999987336,data_store\pdf\Trí tuệ - Không ai hoàn hảo.pdf | data_store\pdf\Trí tuệ - Không ai hoàn hảo.pdf | data_store\pdf\Hành vi - Không ai hoàn hảo.pdf | Bo_De_Me_Va_Be.xlsx | data_store\pdf\Trí tuệ - Không ai hoàn hảo.pdf,
Q005,KB1,95,1000,Sữa non của em màu vàng và đặc thì có tốt cho bé không ạ?,"Rất tốt • Chất lỏng dày dính màu vàng do các tế bào nang vú tiết ra trong suốt 3 tháng cuối của thai kì và kéo dài 1 thời gian sau sinh • Số lượng ít, năng lượng cao • Chứa ít đường lactose, vitamin tan trong chất béo, natri cao hơn, kẽm và tất cả các yếu tố bảo vệ • Kháng thể bám vào thành ruột để tránh sự xâm nhập các mầm bệnh • Các yếu tố tăng trưởng kích thích sự phát triển của tế bào niêm mạc, biểu mô, tổng hợp ADN, sự phát triển của các cơ quan và hệ thần kinh • Thường sẽ chuyển sang sữa trưởng thành trong 30-40 giờ sau sinh",1445371_Improving-the-quality-and-care-of,"Sữa non màu vàng và đặc có tốt cho bé không? Có. Sữa non có nhiều năng lượng, chất đạm, nhiều vitamin A, kháng thể và tế bào bạch cầu, giúp bảo vệ bé khỏi bệnh tật và giúp bé thải ra phân su.",1,5,2,637,1463,0.1366459627329192,1.0240352999990137,data_store\pdf\Tài liệu khóa học Nuôi con bằng sữa mẹ.pdf | data_store\pdf\Sức khỏe - Không ai hoàn hảo.pdf,
Q005,KB1,95,1500,Sữa non của em màu vàng và đặc thì có tốt cho bé không ạ?,"Rất tốt • Chất lỏng dày dính màu vàng do các tế bào nang vú tiết ra trong suốt 3 tháng cuối của thai kì và kéo dài 1 thời gian sau sinh • Số lượng ít, năng lượng cao • Chứa ít đường lactose, vitamin tan trong chất béo, natri cao hơn, kẽm và tất cả các yếu tố bảo vệ • Kháng thể bám vào thành ruột để tránh sự xâm nhập các mầm bệnh • Các yếu tố tăng trưởng kích thích sự phát triển của tế bào niêm mạc, biểu mô, tổng hợp ADN, sự phát triển của các cơ quan và hệ thần kinh • Thường sẽ chuyển sang sữa trưởng thành trong 30-40 giờ sau sinh",1445371_Improving-the-quality-and-care-of,"Sữa non màu vàng và đặc có tốt cho bé không? Có. Sữa non có nhiều năng lượng, chất đạm, nhiều vitamin A, kháng thể và tế bào bạch cầu, giúp bảo vệ bé khỏi bệnh tật và giúp bé thải ra phân su.",1,5,3,1432,3290,0.1366459627329192,11.624234799999613,data_store\pdf\Tài liệu khóa học Nuôi con bằng sữa mẹ.pdf | data_store\pdf\Sức khỏe - Không ai hoàn hảo.pdf | data_store\pdf\quyet_dinh_hd_an_bo_sung.pdf,
Q005,KB1,95,2200,Sữa non của em màu vàng và đặc thì có tốt cho bé không ạ?,"Rất tốt • Chất lỏng dày dính màu vàng do các tế bào nang vú tiết ra trong suốt 3 tháng cuối của thai kì và kéo dài 1 thời gian sau sinh • Số lượng ít, năng lượng cao • Chứa ít đường lactose, vitamin tan trong chất béo, natri cao hơn, kẽm và tất cả các yếu tố bảo vệ • Kháng thể bám vào thành ruột để tránh sự xâm nhập các mầm bệnh • Các yếu tố tăng trưởng kích thích sự phát triển của tế bào niêm mạc, biểu mô, tổng hợp ADN, sự phát triển của các cơ quan và hệ thần kinh • Thường sẽ chuyển sang sữa trưởng thành trong 30-40 giờ sau sinh",1445371_Improving-the-quality-and-care-of,"Sữa non màu vàng và đặc có tốt cho bé không? Có. Sữa non có nhiều năng lượng, chất đạm, nhiều vitamin A, kháng thể và tế bào bạch cầu, giúp trẻ thải phân su và bảo vệ bé khỏi bệnh tật.",1,5,4,1849,4247,0.1383647798742138,1.2211872999996558,data_store\pdf\Tài liệu khóa học Nuôi con bằng sữa mẹ.pdf | data_store\pdf\Sức khỏe - Không ai hoàn hảo.pdf | data_store\pdf\quyet_dinh_hd_an_bo_sung.pdf | data_store\pdf\d3fa1053-wp8-postpartum-care-handbook-viet.pdf,
Q005,KB1,95,3000,Sữa non của em màu vàng và đặc thì có tốt cho bé không ạ?,"Rất tốt • Chất lỏng dày dính màu vàng do các tế bào nang vú tiết ra trong suốt 3 tháng cuối của thai kì và kéo dài 1 thời gian sau sinh • Số lượng ít, năng lượng cao • Chứa ít đường lactose, vitamin tan trong chất béo, natri cao hơn, kẽm và tất cả các yếu tố bảo vệ • Kháng thể bám vào thành ruột để tránh sự xâm nhập các mầm bệnh • Các yếu tố tăng trưởng kích thích sự phát triển của tế bào niêm mạc, biểu mô, tổng hợp ADN, sự phát triển của các cơ quan và hệ thần kinh • Thường sẽ chuyển sang sữa trưởng thành trong 30-40 giờ sau sinh",1445371_Improving-the-quality-and-care-of,"Sữa non màu vàng và đặc có tốt cho bé không? Có. Sữa non có nhiều năng lượng, chất đạm, nhiều vitamin A, kháng thể và tế bào bạch cầu, giúp bảo vệ bé khỏi bệnh tật và giúp bé thải ra phân su.",1,5,5,2637,6058,0.1366459627329192,61.42246449999948,data_store\pdf\Tài liệu khóa học Nuôi con bằng sữa mẹ.pdf | data_store\pdf\Sức khỏe - Không ai hoàn hảo.pdf | data_store\pdf\quyet_dinh_hd_an_bo_sung.pdf | data_store\pdf\d3fa1053-wp8-postpartum-care-handbook-viet.pdf | Một số câu sản phụ thường hỏi trong thời kỳ hậu sản.docx,
