kb,question,ground_truth,mrr_score,ap_score,latency_sec,num_relevant,docs_preview
kb2,Trẻ sơ sinh đc kđịnh nghĩa là trẻ trong độ tuổi nào z?,Trẻ sơ sinh là trẻ từ khi lọt lòng mẹ đến 28 ngày tuổi.,1.0,1.0,7.3449,2,"Câu hỏi	Trả lời	Nguồn: Nhiễm trùng mắt ở trẻ sơ sinh là gì?	""Trẻ sơ sinh được tí ||| Câu hỏi	Trả lời	Nguồn: Ở trẻ sơ sinh và trẻ nhỏ < 12 tháng tuổi: ||| Dấu hiệu cảnh báo trẻ chậm biết đi Bài viết được tư vấn chuyên môn bởi Bác sĩ ch ||| Câu hỏi	Trả lời	Nguồn: Thế nào là vàng da sinh lý ở trẻ sơ sinh? 	""Ở trẻ đủ thán ||| | 457 HƯỚNG DẪN KHÁM SỨC KHỎE TRẺ EM ĐỊNH KỲ Hướng dẫn này được sử dụng để khám "
kb2,"Trong ngày đầu sau sinh, cần giữ ấm cho bé nhà mình bằng cách nào z chat ơi?",Giữ ấm cho trẻ bằng cách cho nằm cùng mẹ.,1.0,1.0,0.0471,1,"Vào thời điểm khi trẻ sinh ra, trẻ sơ sinh nên được lau khô ngay lập tức và sau  ||| Câu hỏi	Trả lời	Nguồn: Phòng ngừa nhiệt miệng cho trẻ dưới 1 tuổi như thế nào?	"" ||| NHỮNG VẤN ĐỀ PHỔ BIẾN CẦN PHẢI LÀM GÌ Cố gắng thử nhiều cách khác nhau để làm dị ||| Cách điều trị bệnh viêm da cơ địa trẻ 3 tháng tuổi Hỏi Chào bác sĩ ạ. Bé nhà em  ||| 3 Chăm sóc ngay sau sinh • Bú mẹ đầu tiên được khuyến khích càng sớm càng tốt ng"
kb2,Sau khi sinh bao lâu thì ms đc tắm hoặc rửa cho bé con z,Không tắm hoặc rửa cho trẻ trong 6 giờ đầu sau sinh.,1.0,0.8056,0.0381,3,"70 - Sau 24h sau sinh, thường các hộ sinh là người tắm cho trẻ trước. Sau đó khi ||| 1 Cải thiện chất lượng chăm sóc mẹ và bé sau sinh Kim Hyde Hộ sinh, Tư vấn NCBSM ||| 76 | 3. Hướng dẫn chăm sóc. Cho mẹ Cho con - Vệ sinh hàng ngày: rửa vùng sinh dụ ||| Câu hỏi	Trả lời	Nguồn: 2. Tắm đúng cách: Chỉ nên tắm cho trẻ bằng nước ấm (không ||| 95 - Chỉ khi nào cảm thấy sức khỏe đã ổn định, không còn đau đ ớn, tâm lý cũng đ"
kb2,Bé nhà t nên đc bú mẹ lần đầu vào tg điểm nào sau đẻ,Cho trẻ bú mẹ ngay trong vòng 1 giờ đầu sau sinh và cho bú theo nhu cầu của trẻ.,1.0,1.0,0.0411,5,35 Thời gian cho trẻ bú - Cho trẻ bú ngay trong vòng 1 gi ờ đầu sau sinh đ ể tận ||| đến:  Có kinh trở lại.  Trẻ ăn những thức ăn khác ngoài sữa mẹ.  Những khó kh ||| Nuôi con bằng sữa mẹ trong 7 ngày đầu sau sinh • Cho trẻ tiếp xúc da kề da và bú ||| Hướng dẫn các bà mẹ cách cho con bú và duy trì nguồn sữa ngay cả khi bà mẹ phải  ||| ĐẶC TÍNH CỦA SỮA NON  Bài tiết trong vài ngày đầu sau đẻ.  Sữa non sánh đặc có
kb2,"Tại cơ sở y tế, bé sơ sinh cần đc tiêm các loại vắc xin j ngay","Trẻ cần được tiêm bắp vitamin K1, tiêm phòng Lao(BCG) và viêm gan B.",0.5,0.45,0.0424,2,"và con trước khi cho về nhà. - Trường hợp cần chuyển tuyến: Khi chuyển phải cung ||| CHĂM SÓC TRẺ CHĂM SÓC TRẺ • Trẻ cần được tiêm chủng theo chương trình tiêm chủng ||| 254 | - Phát hiện các triệu chứng của giang mai bẩm sinh để chuyến tuyến trên (c ||| | 205 CHUYỂN VIỆN AN TOÀN CHO TRẺ SƠ SINH 1. Chuyển trẻ từ tuyến xã. - Tùy điều  ||| | 253 TRẺ SINH RA TỪ MẸ BỊ VIÊM GAN B, LAO, LẬU, GIANG MAI, HIV 1. Mẹ bị viêm ga"
kb2,Gia đình cần theo dõi những bộ phận nào của bé nhà mình ở nhà trộm vía,"Gia đình và bà mẹ cần theo dõi về nhịp thở, màu da, rốn, bàn chân, tiểu tiện và
phân su của trẻ.",0.3333,0.3333,0.0367,1,"AN TOÀN VÀ PHÒNG CHỐNG THƯƠNG TÍCH BẠN CÓ THỂ LÀM GÌ ĐỂ GIỮ AN TOÀN CHO TRẺ? Để  ||| Câu hỏi	Trả lời	Nguồn: Con tôi thường thức ban đêm, ngủ vào ban ngày, vậy bé có  ||| Câu hỏi	Trả lời	Nguồn: - Chăm sóc bé chu đáo None: luôn theo dõi và quan sát các ||| CƠ THỂ PHÁT TRIỂN, TRÍ TUỆ PHÁT TRIỂN Bạn có thể chơi trò chơi “thử đoán đồ vật” ||| 42 | QUẢN LÝ THAI Quản lý thai là các biện pháp giúp cán bộ y tế xã nắm chắc số "
kb2,Thế nào là nuôi con bằng sưa mẹ hoàn toàn nhỉ,"Cho trẻ bú hoàn toàn bằng sữa mẹ mà không cần ăn thêm bất cứ thứ gì
khác, kể cả nước tráng miệng sau khi bú. Cho trẻ bú theo nhu cầu cả ngày
lẫn đêm.",1.0,1.0,0.0393,5,"SỨC KHOẺ Sữa non (‘sữa đầu’) là món quà quý giá nhất cho em bé mới sinh. Sữa non ||| Lợi ích của nuôi con bằng sữa mẹ NCBSM • Giúp tăng cường tình cảm mẹ con, bảo đả ||| Điều kiện 1 Có bản qui định về nuôi con bằng sữa mẹ và được phổ biến thường xuyê ||| KHUYẾN NGHỊ VỀ NCBSM (2) Cho trẻ bú kéo dài đến 24 tháng hoặc lâu hơn • Từ 6 thá ||| | 217 TƯ VẤN NUÔI CON BẰNG SỮA MẸ Sữa mẹ là nguồn dinh dưỡng quý giá nh ất giúp "
kb2,"Trước khi bế hoặc cho bé bú, mẹ bỉm cần làm j vậy ạ",Rửa tay bằng xà phòng và nước sạch.,0.0,0.0,0.0406,0,"Với trẻ sơ sinh, bạn sẽ nên theo dõi số lần thay tã mỗi ngày. Đây là một chỉ số  ||| -         Khuyến khích các mẹ ngồi cho con bú, nhằm giúp trẻ ngậm bắt vú đúng và ||| AN TOÀN VÀ PHÒNG CHỐNG THƯƠNG TÍCH BẠN CÓ THỂ LÀM GÌ ĐỂ GIỮ AN TOÀN CHO TRẺ? Để  ||| Câu hỏi	Trả lời	Nguồn: Trẻ sơ sinh gần như ngủ suốt ngày đêm None: chỉ thức dậy  ||| Sức khỏe của mẹ trong ngày đầu tiên sau sinh cũng sẽ còn rất yếu nên mọi việc ch"
kb2,Liệt kê các dấu hiệu nguy hiểm ở bé sơ sinh cần đi khám ngay mn ơi,"Sau khi trẻ sinh ra, bà mẹ và gia đình cần theo dõi và phát hiện sớm các dấu hiệu nguy hiểm ở trẻ sơ sinh (trẻ từ khi sinh ra cho đến 28 ngày tuổi) như: Bú kém hoặc bỏ bú, ngủ li bì khó đánh thức, Thở khác thường (thở chậm dưới 40 lần hoặc thở nhanh trên 60 lần trong 1 phút, co rút lồng ngực, cánh mũi phập phồng, khò khè), Sốt cao (trên 38,5 độ C) hoặc hạ nhiệt độ (dưới 36 độ C), co cứng hoặc co giật,  mắt sưng đỏ hoặc có mủ nhiều, rốn sưng đỏ hoặc chảy mủ, Da vàng sau đẻ 24 giờ hoặc kéo dài hơn 2 tuần hoặc da vàng đậm, Nôn liên tục, bụng chướng, Đi ỉa nhiều nước, nhiều lần hơn bình thường, Trẻ không đái, ỉa sau 24 giờ sau khi sinh.",1.0,0.7,0.0441,2,"7 Bàn giao việc chăm sóc đến khoa hậu sản • Nhân viên bàn giao việc chăm sóc khi ||| Câu hỏi	Trả lời	Nguồn: Cần đưa trẻ đi khám ngay khi nào?	""Khi trẻ có một trong c ||| Câu hỏi	Trả lời	Nguồn: - Chăm sóc bé chu đáo None: luôn theo dõi và quan sát các ||| Câu hỏi	Trả lời	Nguồn: Những dấu hiệu cảnh báo bệnh tay chân miệng?	""Dù đa số tr ||| | 209 - Khi trẻ sơ sinh có vấn đề về sức khỏe cần chuyển sang điều trị ở khoa Nh"
kb2,Cách xử trí ở nhà khi bé nhà t bị sốt cao fải làm sao,"Lau người bằng khăn ấm, đắp khăn ấm để hạ nhiệt và đưa ngay đến cơ sở y tế.",0.0,0.0,0.0454,0,"NHỮNG VẤN ĐỀ PHỔ BIẾN SỐT Sốt là tình trạng nhiệt độ cơ thể cao hơn bình thường. ||| Câu hỏi	Trả lời	Nguồn: Cách chăm sóc bé bị viêm da cơ địa?	""Để chăm sóc đúng các ||| Câu hỏi	Trả lời	Nguồn: - Sốt nhẹ hoặc sốt vừa None: kèm theo biểu hiện quấy khóc ||| 84 - Giữ bé ở nơi mát mẻ + Nhằm giúp bé c ảm thấy dễ chịu và h ạ sốt mẹ nên cố g ||| Câu hỏi	Trả lời	Nguồn: Phòng ngừa nhiệt miệng cho trẻ dưới 1 tuổi như thế nào?	"""
