Tiêu chí,Bài báo [2] (CMU 2026),MomCare (KB1)
Tên hệ thống,CMU Maternal Health Chatbot,MomCare RAG Chatbot
Miền ứng dụng,Sức khỏe mẹ bầu (Ấn Độ),Chăm sóc mẹ sau sinh (Việt Nam)
Ngôn ngữ,"Đa ngôn ngữ (Hindi, Marathi...)",Tiếng Việt (đa phong cách)
Quy mô đánh giá,781 câu (LLM-as-Judge),396 câu (RAGAS tự động)
Phương pháp đánh giá,LLM-as-Judge (chủ quan),"RAGAS (khách quan, tái hiện được)"
Retrieval,Hybrid: BM25 + Dense + Reranker,FAISS MMR + CrossEncoder Reranker
Safety Guardrails,Stage-aware Triage (3 mức),Guardrails 3 lớp + WHO mhGAP
Faithfulness / Accuracy,68.3% (Expert Agreement),70.1% (Faithfulness RAGAS)
Context Recall,Không báo cáo riêng,69.2% (Context Recall)
Đa kịch bản,Không (1 kịch bản thực tế),3 kịch bản: Y khoa / Mẹ bỉm / Nhiễu
