config,turn,question,history_chars_raw,history_chars_model,summary_updated,api_calls,summary_prompt_tokens,processing_prompt_tokens,prompt_tokens_total,completion_tokens_total,latency_s,intent,rewritten,status,error
RAW_SEPARATE,1,"Bé nhà tôi 8 tháng tuổi, tôi muốn tìm hiểu về ăn dặm và vẫn tiếp tục cho bé bú mẹ. Tôi nên lưu ý những thông tin nào trong giai đoạn này?",0,0,False,2,0,479,479,47,0.869327,RAG,Tôi muốn tìm hiểu về cách ăn dặm cho bé 8 tháng tuổi và cách phối hợp với việc bú mẹ.,OK,
RAW_SEPARATE,2,Nếu tôi hỏi tiếp về số bữa ăn dặm mỗi ngày thì hệ thống có giữ được thông tin bé đang 8 tháng tuổi từ câu trước không?,311,311,False,2,0,552,552,36,0.643157,RAG,Tôi sẽ giữ được thông tin về độ tuổi của bé từ câu trước.,OK,
RAW_SEPARATE,3,"Còn sữa mẹ thì sao, tôi vẫn muốn hỏi cho chính bé 8 tháng tuổi ở trên chứ không chuyển sang một trẻ ở nhóm tuổi khác.",561,561,False,2,0,622,622,18,0.643437,RAG,Tôi vẫn muốn hỏi về sữa mẹ cho bé 8 tháng tuổi.,OK,
RAW_SEPARATE,4,Nếu tôi chỉ viết ngắn là 'còn vitamin thì sao' thì thông tin tuổi của bé và chủ đề trước đó có được dùng để làm rõ câu hỏi không?,830,830,False,2,0,704,704,38,0.698745,RAG,"Câu hỏi đã viết lại: ""Tôi muốn biết thêm về việc bổ sung vitamin cho bé 8 tháng tuổi khi đang ăn dặm và bú mẹ.""",OK,
RAW_SEPARATE,5,"Tôi muốn quay lại chủ đề ăn dặm. Khi hỏi tiếp mà không nhắc lại tuổi, hãy hiểu rằng tôi vẫn đang nói về bé 8 tháng tuổi của mình.",1093,1093,False,2,0,782,782,15,0.626433,RAG,Tôi muốn quay lại chủ đề ăn dặm.,OK,
RAW_SEPARATE,6,Nếu câu tiếp theo của tôi là 'nên ăn mấy bữa' thì hệ thống cần viết lại thành câu đầy đủ nhưng không tự thêm những vấn đề tôi chưa hỏi.,1366,1366,False,2,0,863,863,27,0.641111,RAG,Tôi hiểu rằng bạn muốn hỏi về số bữa ăn dặm mỗi ngày cho bé 8 tháng tuổi.,OK,
RAW_SEPARATE,7,"Sau nhiều lượt như vậy, tôi vẫn muốn hệ thống nhớ bé 8 tháng tuổi nhưng không cần gửi lại nguyên văn toàn bộ các câu trao đổi từ đầu.",1638,1638,False,2,0,932,932,46,0.672861,RAG,Câu hỏi mới: Tôi muốn hỏi về số bữa ăn dặm phù hợp cho bé 8 tháng tuổi.,OK,
RAW_SEPARATE,8,Bây giờ tôi hỏi 'còn sữa mẹ thì sao' một lần nữa; câu này vẫn thuộc chuỗi trao đổi về bé 8 tháng tuổi và không phải một chủ đề mới.,1927,1927,False,2,0,1019,1019,48,0.757039,RAG,"Câu hỏi đã viết lại là: ""Tôi muốn biết thêm về việc cho bé 8 tháng tuổi tiếp tục bú mẹ.""",OK,
RAW_SEPARATE,9,Nếu tôi hỏi thêm về ăn bổ sung thì vẫn giữ tuổi 8 tháng và đừng lấy khuyến nghị chỉ dành cho nhóm tuổi khác để áp vào bé.,2197,2197,False,2,0,1082,1082,39,0.701485,RAG,Tôi hiểu rằng bạn muốn hỏi thêm về ăn bổ sung cho bé 8 tháng tuổi.,OK,
RAW_SEPARATE,10,"Ở lượt cuối này, tôi muốn biết hệ thống còn giữ được đối tượng đang hỏi là bé 8 tháng tuổi sau khi lịch sử đã dài hay không.",2458,2458,False,2,0,1153,1153,26,0.703094,RAG,Hệ thống có thể giữ được thông tin về bé 8 tháng tuổi trong suốt quá trình trao đổi.,OK,
