config,question_idx,question,tokens,latency_ms,faithfulness
A,0,Tiêu chí lâm sàng đối với người mắc COVID-19 được quản lý tại nhà là gì?,2523,12729.394199996023,0.2
B,0,Tiêu chí lâm sàng đối với người mắc COVID-19 được quản lý tại nhà là gì?,968,1665.9603000152856,0.0
C,0,Tiêu chí lâm sàng đối với người mắc COVID-19 được quản lý tại nhà là gì?,2904,1592.4138999835122,0.0
D,0,Tiêu chí lâm sàng đối với người mắc COVID-19 được quản lý tại nhà là gì?,3031,1854.385100014042,0.0
A,1,Người mắc COVID-19 cách ly tại nhà cần tự theo dõi những chỉ số sức khỏe nào hàng ngày?,2764,2248.521700006677,0.2
B,1,Người mắc COVID-19 cách ly tại nhà cần tự theo dõi những chỉ số sức khỏe nào hàng ngày?,773,1459.3244999996386,0.0
C,1,Người mắc COVID-19 cách ly tại nhà cần tự theo dõi những chỉ số sức khỏe nào hàng ngày?,2859,1700.0935999967624,0.2
D,1,Người mắc COVID-19 cách ly tại nhà cần tự theo dõi những chỉ số sức khỏe nào hàng ngày?,3644,2441.2851999804843,0.65
A,2,Những vật dụng y tế thiết yếu nào cần chuẩn bị khi quản lý điều trị COVID-19 tại nhà?,2881,3940.9345000167377,0.2
B,2,Những vật dụng y tế thiết yếu nào cần chuẩn bị khi quản lý điều trị COVID-19 tại nhà?,1310,5026.527199981501,0.05
C,2,Những vật dụng y tế thiết yếu nào cần chuẩn bị khi quản lý điều trị COVID-19 tại nhà?,583,403.63950000028126,0.0
D,2,Những vật dụng y tế thiết yếu nào cần chuẩn bị khi quản lý điều trị COVID-19 tại nhà?,3451,22112.383300001966,0.2
A,3,Nêu các loại thuốc điều trị tại nhà cần chuẩn bị cho người mắc COVID-19 theo hướng dẫn của Bộ Y tế?,4204,35439.623399986885,0.0
B,3,Nêu các loại thuốc điều trị tại nhà cần chuẩn bị cho người mắc COVID-19 theo hướng dẫn của Bộ Y tế?,1166,3659.057799988659,0.0
C,3,Nêu các loại thuốc điều trị tại nhà cần chuẩn bị cho người mắc COVID-19 theo hướng dẫn của Bộ Y tế?,2839,3890.203000017209,0.0
D,3,Nêu các loại thuốc điều trị tại nhà cần chuẩn bị cho người mắc COVID-19 theo hướng dẫn của Bộ Y tế?,3527,2658.6492999922484,0.2
A,4,"Khi nào F0 điều trị tại nhà cần khai báo ngay với Cơ sở quản lý để được hỗ trợ cấp cứu, chuyển viện?",2762,1914.3749000213575,0.85
B,4,"Khi nào F0 điều trị tại nhà cần khai báo ngay với Cơ sở quản lý để được hỗ trợ cấp cứu, chuyển viện?",931,1485.250099998666,0.0
C,4,"Khi nào F0 điều trị tại nhà cần khai báo ngay với Cơ sở quản lý để được hỗ trợ cấp cứu, chuyển viện?",3278,16960.837099992204,0.2
D,4,"Khi nào F0 điều trị tại nhà cần khai báo ngay với Cơ sở quản lý để được hỗ trợ cấp cứu, chuyển viện?",802,1062.4154999968596,0.0
