Câu hỏi,Trả lời,Nguồn
Thời kỳ hậu sản kéo dài bao lâu?,"Thời kỳ hậu sản kéo dài 42 ngày (6 tuần) sau sinh. Đây là giai đoạn cơ thể mẹ phục hồi về trạng thái trước khi mang thai, tử cung co hồi, sản dịch ra dần và tuyến sữa hoạt động.",BV Từ Dũ — Hướng dẫn hậu sản
Sản dịch sau sinh kéo dài bao lâu là bình thường?,"Sản dịch bình thường kéo dài 4–6 tuần: ngày 1–3 màu đỏ tươi, ngày 4–10 chuyển hồng nhạt, sau đó trắng/vàng nhạt rồi hết. Nếu có mùi hôi, màu bất thường hoặc ra nhiều máu tươi sau tuần đầu cần khám ngay.",BV Từ Dũ — Quy trình hậu sản 2016
Sau sinh cần thay băng vệ sinh bao lâu một lần?,"Thay băng vệ sinh mỗi 4 giờ hoặc khi băng ướt/đầy. Rửa từ trước ra sau bằng nước ấm sạch sau mỗi lần đi vệ sinh, lau khô nhẹ nhàng. Không thụt rửa sâu vào âm đạo.",BV Từ Dũ — Chăm sóc hậu sản
Đau bụng sau sinh có bình thường không?,"Có. Đau bụng âm ỉ 2–3 ngày đầu là bình thường do tử cung co hồi (đặc biệt khi cho con bú). Nếu đau dữ dội, sốt cao hoặc có máu tươi nhiều thì cần đến bệnh viện ngay.",BV Từ Dũ — Hướng dẫn hậu sản
Mẹ sinh thường bao giờ được đi lại?,"Sau sinh thường 6 giờ mẹ có thể ngồi dậy từ từ, sau đó đi lại nhẹ nhàng. Từ ngày thứ 2 có thể hoạt động sinh hoạt bình thường. Vận động sớm giúp phòng ngừa tắc tĩnh mạch và táo bón.",BV Từ Dũ — Quy trình hậu sản 2016
Mẹ sau sinh có được tắm không?,"Sinh thường: tắm nước ấm từ ngày 1–2, phòng kín gió. Sinh mổ: lau người 3 ngày đầu, tắm nhẹ từ ngày 4 khi vết mổ khô. Không ngâm bồn tắm cho đến khi vết mổ/tầng sinh môn lành hẳn.",BV Phụ Sản MêKông — Chăm sóc sau sinh mổ
Tử cung co hồi sau sinh bao lâu?,"Tử cung co hồi hoàn toàn sau 6 tuần. Ngay sau sinh tử cung to bằng thai 20 tuần, sau 1 tuần to bằng thai 12 tuần, sau 6 tuần trở về kích thước bình thường. Cho con bú sớm giúp tử cung co hồi nhanh hơn.",BV Từ Dũ — Hướng dẫn hậu sản
Khi nào mẹ sau sinh cần đến bệnh viện ngay?,"Cần đến BV ngay khi: (1) Chảy máu âm đạo nhiều (thấm >1 băng/giờ), (2) Sốt trên 38.5°C, (3) Sản dịch có mùi hôi thối, (4) Đau bụng dữ dội, (5) Vết mổ/tầng sinh môn sưng đỏ chảy mủ, (6) Khó thở, đau ngực.",BV Từ Dũ — Dấu hiệu nguy hiểm hậu sản
Mẹ sau sinh ngủ tư thế nào tốt nhất?,"Sinh thường: nằm tư thế thoải mái. Sinh mổ: nằm nghiêng kê gối góc 20–30 độ, tránh nằm ngửa hoàn toàn để giảm đau vết mổ và hạn chế sản dịch ứ đọng.",BV Phụ Sản MêKông — Chăm sóc sau sinh mổ
Sau sinh bao lâu mới được quan hệ tình dục?,Tối thiểu 6 tuần sau sinh (hết thời kỳ hậu sản) khi đã khám và được bác sĩ xác nhận vết thương lành. Sinh mổ nên đợi đủ 6–8 tuần. Dùng bao cao su trong 3 tháng đầu vì tử cung chưa phục hồi hoàn toàn.,Vinmec — Chăm sóc sau sinh mổ; BV Từ Dũ hậu sản
Sau sinh kinh nguyệt bao lâu trở lại?,Mẹ bú mẹ hoàn toàn: kinh nguyệt có thể trở lại sau 6–12 tháng. Mẹ không cho con bú hoặc bú ít: kinh trở lại sau 6–8 tuần. Lưu ý vẫn có thể có thai trước kỳ kinh đầu tiên nên cần tránh thai sớm.,BV Từ Dũ — Hướng dẫn hậu sản
Mẹ sau sinh có thể mang thai lại khi nào?,"Sinh thường: nên đợi ít nhất 18 tháng. Sinh mổ: nên đợi ít nhất 2 năm để vết mổ tử cung lành hoàn toàn, giảm nguy cơ vỡ tử cung trong lần mang thai tiếp theo.",Vinmec — Tư vấn sản khoa
Tóc rụng nhiều sau sinh có đáng lo?,"Rụng tóc nhiều sau sinh là bình thường (xảy ra 3 tháng sau sinh do thay đổi hormone estrogen). Tóc sẽ mọc lại sau 6–12 tháng. Có thể bổ sung Biotin 5mg/ngày, ăn đủ đạm và sắt để hỗ trợ.",Vinmec — Sức khỏe mẹ sau sinh
Sau sinh bị đau lưng phải làm sao?,"Dùng đai lưng hỗ trợ, tập bài tập phục hồi nhẹ nhàng, tránh cúi gập người đột ngột, khi bế bé nhớ ngồi xuống rồi đứng lên. Nếu đau kéo dài hơn 3 tháng hoặc đau lan xuống chân cần khám vật lý trị liệu.",Vinmec — Phục hồi chức năng sau sinh
Mẹ sau sinh bị trĩ phải làm gì?,"Uống nhiều nước (2–3 lít/ngày), ăn nhiều rau xanh và chất xơ, tránh rặn mạnh khi đi vệ sinh. Ngâm hậu môn nước ấm 10–15 phút/lần, 2–3 lần/ngày. Nặng hơn cần khám bác sĩ để dùng thuốc đặt hoặc can thiệp.",BV Từ Dũ — Chăm sóc hậu sản
Mẹ sau sinh bị táo bón phải xử lý như thế nào?,"Uống ít nhất 2 lít nước/ngày, ăn nhiều rau xanh, trái cây có xơ (đu đủ, chuối, khoai lang). Vận động nhẹ mỗi ngày. Nếu không cải thiện sau 3 ngày có thể dùng thuốc nhuận tràng nhẹ theo chỉ dẫn bác sĩ.",Vinmec — Chăm sóc sau sinh mổ
