split,dataset,profile,question,alpha,table_bonus,hit_at_5,rr_at_5,latency_seconds,config
test,KB1_Standard,exact_lexical,Nguyên tắc cho trẻ ăn dặm về độ đặc và số lượng là gì?,0.3,0.0,0,0.0,0.11839329998474568,Fixed alpha = 0.3
test,KB1_Standard,exact_lexical,Làm sao để phân biệt vàng da sinh lý và vàng da bệnh lý ở trẻ sơ sinh ạ?,0.3,0.0,0,0.0,0.1357428999908734,Fixed alpha = 0.3
test,KB1_Standard,exact_lexical,"Trong một bát bột ăn dặm chuẩn cho bé, em cần phải đảm bảo có đủ 4 nhóm chất dinh dưỡng nào ạ?",0.3,0.0,1,1.0,0.14404220000142232,Fixed alpha = 0.3
test,KB1_Standard,exact_lexical,Giải pháp hỗ trợ phản xạ oxytocin hoạt động tốt?,0.3,0.0,1,1.0,0.09082120002130978,Fixed alpha = 0.3
test,KB1_Standard,exact_lexical,Thiếu vitamin D gây ảnh hưởng như thế nào?,0.3,0.0,0,0.0,0.09279920000699349,Fixed alpha = 0.3
test,KB1_Standard,exact_lexical,"Khi con em bước sang tháng thứ 7 đến tháng thứ 9, em có cần tăng thêm số lượng bữa ăn dặm cho bé không bác sĩ?",0.3,0.0,1,0.3333333333333333,0.17137510000611655,Fixed alpha = 0.3
test,KB1_Standard,exact_lexical,"Cho em hỏi vì sao em vẫn cho con bú đều mà vẫn bị tắc tia sữa, nguyên nhân thường gặp là gì ạ?",0.3,0.0,1,1.0,0.20723299999372102,Fixed alpha = 0.3
test,KB1_Standard,exact_lexical,Các nguồn bổ sung vitamin D khác?,0.3,0.0,0,0.0,0.09403760000714101,Fixed alpha = 0.3
test,KB1_Standard,exact_lexical,"Những ngày trời nắng nóng thế này, em sợ con chỉ bú mẹ sẽ bị khát, em có cần bổ sung thêm nước lọc cho bé không ạ?",0.3,0.0,1,1.0,0.19885839999187738,Fixed alpha = 0.3
test,KB1_Standard,exact_lexical,Băng huyết sau sinh sớm và muộn khác nhau ra sao?,0.3,0.0,0,0.0,0.1142905000015162,Fixed alpha = 0.3
test,KB1_Standard,exact_lexical,Thuốc đầu tay được lựa chọn để co hồi tử cung dự phòng băng huyết là gì?,0.3,0.0,0,0.0,0.13298890000442043,Fixed alpha = 0.3
test,KB1_Standard,exact_lexical,Em thấy sản dịch có màu đen sậm và mùi hôi kèm sốt nhẹ là dấu hiệu gì ạ?,0.3,0.0,0,0.0,0.12675880000460893,Fixed alpha = 0.3
test,KB1_Standard,exact_lexical,"Để không bị tắc tia sữa lại lần nữa, em nên thay đổi thói quen sinh hoạt và ăn uống như thế nào ạ?",0.3,0.0,1,1.0,0.14630640001269057,Fixed alpha = 0.3
test,KB1_Standard,exact_lexical,Băng huyết sau sinh được định nghĩa như thế nào?,0.3,0.0,0,0.0,0.10504480000236072,Fixed alpha = 0.3
test,KB1_Standard,noisy_conversational,cho em hỏi lộ trình phát triển vận động bình thường của một em bé khỏe mạnh từ khi sinh ra đến khi biết ngồi vững là thế nào ạ?,0.3,0.0,1,0.3333333333333333,0.16545999998925254,Fixed alpha = 0.3
test,KB1_Standard,noisy_conversational,Sữa mẹ bảo quản trong ngăn mát tủ lạnh (<4°C) được bao lâu?,0.3,0.0,1,1.0,0.1103863000171259,Fixed alpha = 0.3
test,KB1_Standard,noisy_conversational,"Ngoài việc cải thiện chuyện tiểu tiện, tập phục hồi sàn chậu có giúp ích gì cho đời sống vợ chồng sau sinh không ạ?",0.3,0.0,1,1.0,0.13984779999009334,Fixed alpha = 0.3
test,KB1_Standard,noisy_conversational,có các biện pháp nào để duy trì nguồn sữa mẹ không ạ?,0.3,0.0,0,0.0,0.1011999000038486,Fixed alpha = 0.3
